mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
1.5721792380015056;0.035417795181274414;-3.8079934120178223;-3.151432832082113;0.05;1e-06;{'dropout': 0.05, 'regu': 1e-06};11;-4.13480281829834;-2.9014711380004883;-4.297354698181152;-3.6729912757873535;-2.9918227195739746;-2.879836082458496;0.03312291953395987;0.01079968596829859;0.5809226728900393;0.36890326334261936
1.6186436812082927;0.0765245755513509;-4.334543943405151;-3.7363057136535645;0.05;5e-06;{'dropout': 0.05, 'regu': 5e-06};22;-5.527257442474365;-4.651752471923828;-3.8697845935821533;-3.2551772594451904;-3.6065897941589355;-3.301987409591675;0.045668067942238814;0.011039467880680618;0.8501929168360566;0.6476006346300345
1.669416030248006;0.11332138379414876;-4.455051342646281;-3.8222517172495523;0.05;1e-05;{'dropout': 0.05, 'regu': 1e-05};28;-6.002724647521973;-5.224233150482178;-3.4155967235565186;-2.8233282566070557;-3.9468326568603516;-3.419193744659424;0.0722224092532507;0.008845509453446929;1.1156529921013174;1.020760459758549
1.8171578248341878;0.1527555783589681;-4.952812671661377;-4.263031403223674;0.05;5e-05;{'dropout': 0.05, 'regu': 5e-05};41;-4.590540885925293;-3.4763267040252686;-6.517500400543213;-5.815149784088135;-3.750396728515625;-3.497617721557617;0.08595828741763209;0.009873751181887946;1.158345463147746;1.0975478510509624
1.8849924405415852;0.1955244541168213;-4.367403666178386;-3.6825168132781982;0.05;0.0001;{'dropout': 0.05, 'regu': 0.0001};24;-4.709507465362549;-3.568861484527588;-4.208612442016602;-3.5877602100372314;-4.184091091156006;-3.8909287452697754;0.1261405903228066;0.015613402690894103;0.24211096797981693;0.1475713172307287
1.9144057432810466;0.23997346560160318;-4.62070099512736;-3.8644336064656577;0.05;0.0005;{'dropout': 0.05, 'regu': 0.0005};32;-4.551419734954834;-3.3813071250915527;-4.8042731285095215;-4.157761573791504;-4.506410121917725;-4.054232120513916;0.03292547016701322;0.008593342439196737;0.13109923069262241;0.3442266546697408
2.074829578399658;0.27206627527872723;-4.690608898798625;-4.129635334014893;0.05;0.001;{'dropout': 0.05, 'regu': 0.001};35;-6.122939109802246;-5.4110870361328125;-3.6650187969207764;-3.0602800846099854;-4.283868789672852;-3.91753888130188;0.08802838456106502;0.012276535908475281;1.0438458390003669;0.9713605611965429
2.206329822540283;0.31518077850341797;-3.3570897976557412;-2.8582545121510825;0.05;0.005;{'dropout': 0.05, 'regu': 0.005};5;-4.705629825592041;-3.599696397781372;-4.181820869445801;-3.55619478225708;-1.1838186979293823;-1.418872356414795;0.11831014763892025;0.009713516368171492;1.5515421168016714;1.0179518129811245
2.3020973205566406;0.3572827974955241;-4.329528411229451;-3.5375388463338218;0.05;0.01;{'dropout': 0.05, 'regu': 0.01};21;-3.626324415206909;-2.212669849395752;-5.311934471130371;-4.652695655822754;-4.050326347351074;-3.747251033782959;0.1694443187096524;0.010901579787377094;0.7159076567607646;1.0071133286712612
2.3010993798573813;0.39371800422668457;-3.223261912663778;-2.5105424722035727;0.05;0.05;{'dropout': 0.05, 'regu': 0.05};3;-4.175875186920166;-2.8588078022003174;-1.5854723453521729;-1.080383062362671;-3.908438205718994;-3.5924365520477295;0.01673182827548378;0.010346897989212714;1.1632273021854755;1.054694185950925
2.508636713027954;0.43214964866638184;-4.182262659072876;-3.4509414037068686;0.05;0.1;{'dropout': 0.05, 'regu': 0.1};18;-3.9245941638946533;-2.573038101196289;-5.322546005249023;-4.663734436035156;-3.299647808074951;-3.11605167388916;0.17637972384993517;0.009439601853972452;0.8457044673281107;0.8857637531080927
2.4795779387156167;0.4779311815897624;-4.781172593434651;-4.217259645462036;0.1;1e-06;{'dropout': 0.1, 'regu': 1e-06};36;-6.125620365142822;-5.379088401794434;-4.167222023010254;-3.545696973800659;-4.050675392150879;-3.7269935607910156;0.03541638876670254;0.00836946371369955;0.9518580557448212;0.8248642948567366
2.7452967166900635;0.5240538914998373;-3.2109877268473306;-2.580739736557007;0.1;5e-06;{'dropout': 0.1, 'regu': 5e-06};2;-4.470563888549805;-3.259398937225342;-2.7542126178741455;-2.167248249053955;-2.408186674118042;-2.3155720233917236;0.2315028815001734;0.011623380593166087;0.9017880640833994;0.4836897893604177
2.695153792699178;0.5712002913157145;-4.0668110847473145;-3.57665753364563;0.1;1e-05;{'dropout': 0.1, 'regu': 1e-05};15;-6.112184047698975;-5.365942001342773;-4.340087890625;-3.712059736251831;-1.7481613159179688;-1.6519708633422852;0.012711822414210048;0.010884486047672717;1.7920535260511186;1.519242293782906
2.811134656270345;0.5999259948730469;-4.889965693155925;-4.046336571375529;0.1;5e-05;{'dropout': 0.1, 'regu': 5e-05};40;-3.8013195991516113;-2.40130352973938;-6.011974811553955;-5.327281951904297;-4.856602668762207;-4.41042423248291;0.049178034608726225;0.010383060338668081;0.9028044954761559;1.2219539818044587
3.0788091023763022;0.6473929087320963;-3.1572296619415283;-2.361683487892151;0.1;0.0001;{'dropout': 0.1, 'regu': 0.0001};1;-3.6229591369628906;-2.158900737762451;-2.1308465003967285;-1.5618122816085815;-3.717883348464966;-3.36433744430542;0.23322269866755926;0.012076825680991575;0.726796370936338;0.7497176683487543
2.9772165616353354;0.7082278728485107;-3.7204267978668213;-3.0970940589904785;0.1;0.0005;{'dropout': 0.1, 'regu': 0.0005};10;-5.063597679138184;-4.041935920715332;-2.6679539680480957;-2.125359058380127;-3.4297287464141846;-3.1239871978759766;0.021747326701309924;0.011993881553688624;0.9993852161738042;0.7826702788100921
3.106890916824341;0.7309547265370687;-4.5444551308949785;-3.9569652875264487;0.1;0.001;{'dropout': 0.1, 'regu': 0.001};30;-5.565501689910889;-4.663987159729004;-4.455950736999512;-3.8238677978515625;-3.611912965774536;-3.3830409049987793;0.05047345082885237;0.01316116283598681;0.8000008319046834;0.5313454828358944
