mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
5.240216890970866;0.053668816884358726;-9.319418499593706;-9.685065259627246;0.05;1e-06;{'dropout': 0.05, 'regu': 1e-06};22;-13.07189593183885;-13.709734859816525;-11.420374686564875;-11.597997389802146;-3.4659848803773934;-3.747463529263068;0.04857265757166333;0.00952809033513995;4.1935581119002565;4.286116697500077
5.5729061762491865;0.0772860844930013;-5.5944046040922855;-5.595462047361088;0.05;5e-06;{'dropout': 0.05, 'regu': 5e-06};9;-5.867888866214577;-5.973199748117989;-3.470420172455114;-3.7622960444984086;-7.444904773607167;-7.050890349466866;0.09480415302261194;0.01173574911229518;1.6340598096806063;1.3688748308002392
5.698559125264485;0.12743322054545084;-6.444970044885571;-5.267465855368052;0.05;1e-05;{'dropout': 0.05, 'regu': 1e-05};14;-7.461248445948329;-4.0649840700517;-7.780009243466439;-7.843758615878744;-4.093652445241945;-3.893654880173709;0.17219091946030277;0.015815637133661298;1.6677175924606242;1.823056355633019
5.917272170384725;0.17027521133422852;-7.8173177220405785;-7.89714139754619;0.05;5e-05;{'dropout': 0.05, 'regu': 5e-05};17;-9.758033778689324;-10.12349242464118;-7.8521285800758855;-7.92567420224531;-5.841790807356528;-5.6422575657520815;0.1409424005379262;0.014799049742445152;1.5989889721333805;1.8295677186772286
5.98206639289856;0.2007153034210205;-11.312691148997082;-11.252991133873616;0.05;0.0001;{'dropout': 0.05, 'regu': 0.0001};32;-10.945245200340901;-11.424940424227934;-11.376896796970193;-11.544747790065381;-11.615931449680154;-10.789285187327534;0.13666109110593178;0.02057550702236199;0.27754493352359355;0.3315175760789318
6.313494284947713;0.23747785886128744;-4.311105846994149;-3.5188164430291646;0.05;0.0005;{'dropout': 0.05, 'regu': 0.0005};1;-6.159927989364764;-3.372214712134195;-3.304741393535509;-3.4902464479481408;-3.4686481580821744;-3.693988169005158;0.042889171150241226;0.01567822504008711;1.3090260609720348;0.1329077947322118
6.3809276421864825;0.28150224685668945;-5.61626179283912;-5.874537306094389;0.05;0.001;{'dropout': 0.05, 'regu': 0.001};10;-9.65266193599876;-10.015750955004211;-3.548781782115271;-3.8029511095186987;-3.64734166040333;-3.8049098537602557;0.12579830489936425;0.010946038893043325;2.854449520681283;2.9282803626710683
6.491416056950887;0.31944092114766437;-6.905389552451784;-7.026725447505985;0.05;0.005;{'dropout': 0.05, 'regu': 0.005};16;-10.749020077766628;-11.212072634915693;-3.9778659453085803;-4.106098794062203;-5.989282634280143;-5.7620049135400615;0.1393393988288481;0.006524834152745523;2.839198359339878;3.035715684809741
6.7043430010477705;0.35598206520080566;;;0.05;0.01;{'dropout': 0.05, 'regu': 0.01};59;-5.378510374541676;-3.2655564787190987;;;-6.5406766287777405;-6.215951090558954;0.03695949089309295;0.013646125011724882;;
6.8757102489471436;0.43406979242960614;-6.053170602256005;-6.172176045744426;0.05;0.05;{'dropout': 0.05, 'regu': 0.05};12;-8.724558742768174;-9.050199307432962;-3.757789244345569;-4.011338943735175;-5.677163819654273;-5.454989886065142;0.059726551308451704;0.05817832797277962;2.0450322960835545;2.1186938479383612
