mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_dropout;param_layers;param_neurons;param_regu;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
5.4406516551971436;0.06960209210713704;;;0.05;1;20;1e-06;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 1e-06};4;;;-22.545204162597656;-32.859371185302734;;;0.31879276733197787;0.0064592162161493565;;
5.687830368677775;0.14585010210673013;;;0.05;1;20;1e-05;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 1e-05};58;;;-11.514780044555664;-14.167383193969727;;;0.8255910503651765;0.038979569718138714;;
6.734001874923706;0.20608274141947427;;;0.05;1;20;0.0001;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.0001};57;;;;;;;0.611155938579376;0.032812441689669326;;
6.417427619298299;0.23439900080362955;;;0.05;1;20;0.001;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.001};56;;;;;;;0.34133331260125416;0.04600304681317942;;
6.587293863296509;0.28127868970235187;;;0.05;1;20;0.01;{'dropout': 0.05, 'layers': 1, 'neurons': 20, 'regu': 0.01};55;;;;;-31.783119201660156;-17.766813278198242;0.14924209003240088;0.04600326277535006;;
6.750117858250936;0.31774067878723145;;;0.05;1;40;1e-06;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 1e-06};54;;;;;-39.99315643310547;-22.069110870361328;0.251620381836772;0.019489859171232745;;
6.708954731623332;0.3854573567708333;;;0.05;1;40;1e-05;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 1e-05};53;;;;;-inf;-inf;0.21566365943858953;0.05156183631674633;;
6.836605072021484;0.4115002950032552;;;0.05;1;40;0.0001;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.0001};52;;;;;;;0.1604200755429847;0.0515649270833404;;
7.199064413706462;0.47085293134053546;;;0.05;1;40;0.001;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.001};51;-25.758148193359375;-30.629409790039062;;;-17.081989288330078;-10.660473823547363;0.28183007343588484;0.04852953937845166;;
7.65847905476888;0.549073060353597;;;0.05;1;40;0.01;{'dropout': 0.05, 'layers': 1, 'neurons': 40, 'regu': 0.01};50;;;;;;;0.4374592266478218;0.08086887187049453;;
8.40386438369751;0.5112844308217367;;;0.05;2;20;1e-06;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 1e-06};49;;;;;;;0.2037385326678272;0.01419208769941191;;
8.7304105758667;0.7969575723012289;;;0.05;2;20;1e-05;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 1e-05};48;;;-13.585535049438477;-17.660152435302734;-12.090598106384277;-8.518503189086914;0.25083003933955744;0.012760679127992697;;
9.238844950993856;0.6990745862325033;;;0.05;2;20;0.0001;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.0001};47;;;;;-inf;-26.313974380493164;0.2013370705106984;0.08354864109155201;;
8.818830410639444;0.5886019865671793;;;0.05;2;20;0.001;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.001};46;-16.97170639038086;-19.477848052978516;-17.88534164428711;-25.15635871887207;;;0.25325182427942217;0.11435817201313138;;
9.615319649378458;0.6980299949645996;-inf;-inf;0.05;2;20;0.01;{'dropout': 0.05, 'layers': 2, 'neurons': 20, 'regu': 0.01};1;-inf;-inf;-21.70808982849121;-31.37838363647461;-37.79938507080078;-21.21240234375;0.06254199718800675;0.040955602852484535;;
10.9344375928243;0.9375921885172526;;;0.05;2;40;1e-06;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 1e-06};45;;;-25.364093780517578;-inf;-inf;-inf;0.22260846266946244;0.09201025099787997;;
10.147549231847128;1.093858242034912;-inf;-inf;0.05;2;40;1e-05;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 1e-05};1;-inf;-inf;-inf;-inf;-34.12060546875;-19.229469299316406;0.2937796695103537;0.06751816362360287;;
10.74658203125;0.8632603486378988;-inf;-inf;0.05;2;40;0.0001;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.0001};1;-17.364971160888672;-19.70718002319336;-inf;-inf;-inf;-29.78962516784668;0.32407130461081707;0.1476443277314642;;
11.08459202448527;1.0970195134480794;;;0.05;2;40;0.001;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.001};44;;;;;-inf;-inf;0.32194603526207644;0.11040718802404573;;
11.27727715174357;1.1459503968556721;;;0.05;2;40;0.01;{'dropout': 0.05, 'layers': 2, 'neurons': 40, 'regu': 0.01};59;;;;;-25.008296966552734;-14.888702392578125;0.1993367508892272;0.10851450462492555;;
10.083353598912558;1.3282601833343506;;;0.15000000000000002;1;20;1e-06;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 1e-06};60;;;-28.248119354248047;-inf;;;0.23490706967629701;0.022099615728348898;;
11.027989625930786;1.252809762954712;;;0.15000000000000002;1;20;1e-05;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 1e-05};61;-23.5860538482666;-27.722442626953125;;;;;0.7511701550424101;0.07173249389559373;;
10.82980227470398;1.4063938458760579;;;0.15000000000000002;1;20;0.0001;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 0.0001};62;;;;;-35.70261764526367;-19.98657989501953;0.32711828715805713;0.12949026220103146;;
11.452248732248941;1.2526172002156575;;;0.15000000000000002;1;20;0.001;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 0.001};78;;;;;-26.313720703125;-15.209564208984375;0.657091972053388;0.10877850637258418;;
11.078214486440023;1.5887035528818767;;;0.15000000000000002;1;20;0.01;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 20, 'regu': 0.01};77;;;;;;;0.36061433730742903;0.03210949441491144;;
11.583855628967285;1.3471924463907878;;;0.15000000000000002;1;40;1e-06;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 40, 'regu': 1e-06};76;;;;;-19.333898544311523;-11.818202018737793;0.22893814053176875;0.09394309401239995;;
10.079258441925049;1.255336046218872;;;0.15000000000000002;1;40;1e-05;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 40, 'regu': 1e-05};75;;;;;;;0.15999731162599756;0.04481151983618486;;
11.38224983215332;1.109493335088094;;;0.15000000000000002;1;40;0.0001;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 40, 'regu': 0.0001};74;;;;;;;0.07395812020949143;0.045997432068625915;;
12.119781732559204;1.2347349325815837;;;0.15000000000000002;1;40;0.001;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 40, 'regu': 0.001};73;;;;;-35.62870407104492;-20.06289291381836;0.6260098047962469;0.1447887195616317;;
14.756630023320517;1.7316961288452148;;;0.15000000000000002;1;40;0.01;{'dropout': 0.15000000000000002, 'layers': 1, 'neurons': 40, 'regu': 0.01};72;;;;;;;0.3369070211834845;0.024370013694973797;;
16.797592957814533;1.6172829469045003;;;0.15000000000000002;2;20;1e-06;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 1e-06};79;;;-15.75831413269043;-21.329435348510742;-inf;-inf;0.414863668732619;0.2311908119004659;;
13.771313349405924;1.6241811116536458;;;0.15000000000000002;2;20;1e-05;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 1e-05};71;;;-18.113513946533203;-25.319623947143555;-9.975379943847656;-7.519999980926514;0.23594503304670553;0.08477403487151393;;
14.513560930887857;1.5939119656880696;;;0.15000000000000002;2;20;0.0001;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 0.0001};69;;;;;-15.205429077148438;-9.988748550415039;0.3067404595581841;0.2363011748615168;;
14.208168188730875;1.9077125390370686;;;0.15000000000000002;2;20;0.001;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 0.001};68;;;;;-22.27651023864746;-13.325021743774414;0.03316123429169467;0.03267337111886172;;
14.417651255925497;1.8699816862742107;;;0.15000000000000002;2;20;0.01;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 20, 'regu': 0.01};67;-18.076496124267578;-20.879901885986328;;;-25.50949478149414;-15.24460506439209;0.025772669248833726;0.041014999560998355;;
15.564089934031168;1.7630566755930583;;;0.15000000000000002;2;40;1e-06;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 40, 'regu': 1e-06};66;;;;;-inf;-inf;0.4505257278164184;0.17071229773173202;;
15.615667978922525;1.914216121037801;;;0.15000000000000002;2;40;1e-05;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 40, 'regu': 1e-05};65;;;;;-inf;-inf;0.795116956375541;0.17126928200636565;;
15.814837296803793;1.9442811806996663;;;0.15000000000000002;2;40;0.0001;{'dropout': 0.15000000000000002, 'layers': 2, 'neurons': 40, 'regu': 0.0001};64;;;;;;;0.5624992146954206;0.18124183750976383;;
