alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;90.31062840512215;153135.92707561396;72.98409504338318;0.0;65.71073751969772;0.0;56.855324141972694;0.0;0.0;41144.28580009354;0.0;53514.56281484121;2456.067201936456;54166.0;806.3716427943466;1048.639615948412;28.75337688060513;0.0;28.860432951379256;7.625397924541596;25.01840284808885;0.021270959292877152;0.031746841214427945;75.49658237084573;0.0;54.01752780065473;11.7210725221927;10.156479768220962;0.12654439147368568;25.525952217858798;4450412.336549643;0.0;176884208.07119018;18846405.738635514;192886290.6953808;6540609.105728679;10450179.32118714
0.0;-3.6914915568786455e-15;-2.9294905777819455e-09;0.0;0.0;0.0;0.0;0.0;-6.23417768906074e-13;0.0;5.275069270282984e-11;7.288271680115904e-11;0.0;0.0;0.0;-3.0551239872859343e-09;0.0;-3.6914915568786455e-15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3180567748349858e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;2.092184379079108;748.936479531119;0.0;0.0;0.0;10.886727385162924;0.0;0.0;0.0;0.0;0.0;0.0;748.936479531119;0.0;0.0;0.0;0.0;0.0;0.0;2.092184379079108;0.0;0.0;0.0;0.0;0.0;0.0;5.900819601842489;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.02;2.599804481476681;735.4051772095851;0.0;0.0;0.0;11.018557421058663;0.0;0.0;0.0;0.0;0.0;0.0;735.4051772095851;0.0;0.0;0.0;0.0;0.0;0.0;2.599804481476681;0.0;0.0;0.0;0.0;0.0;0.0;5.803760936725302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.03;6.2362719884350755;687.5643223046626;0.0;0.0;0.0;11.484651627630578;0.0;0.0;0.0;-1.4551915228366852e-11;3.2105162972584367e-10;0.0;687.5643223043486;0.0;4.092726157978177e-12;3.40349970429088e-12;0.0;0.0;0.0;6.2362719884350755;0.0;0.0;0.0;0.0;0.0;0.0;5.460603315616081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.04;6.2362719884350755;687.5643223043489;0.0;0.0;0.0;11.484651627630578;0.0;0.0;0.0;0.0;0.0;0.0;687.5643223043489;0.0;0.0;0.0;0.0;0.0;0.0;6.2362719884350755;0.0;0.0;0.0;0.0;0.0;0.0;5.460603315616076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.05;5.9439038952512275;760.1893169519948;0.0;0.0;0.0;9.54729368257899;0.0;0.0;0.0;-1.4551915228366852e-11;3.2105162972584367e-10;0.0;760.1893169516808;0.0;4.092726157978177e-12;3.40349970429088e-12;0.0;0.0;0.0;5.9439038952512275;0.0;0.0;0.0;0.0;0.0;0.0;6.886965485081024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.06;5.418637704307329;763.8139080440427;0.0;0.0;0.0;9.615898131715902;0.0;0.0;0.0;-1.4551915228366852e-11;3.2105162972584367e-10;0.0;763.8139080437287;0.0;4.092726157978177e-12;3.40349970429088e-12;0.0;0.0;0.0;5.418637704307329;0.0;0.0;0.0;0.0;0.0;0.0;6.836456083266136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.07;6.622101139606439;745.680045330332;0.0;0.0;0.0;13.935784718118141;0.0;0.0;0.0;-1.4551915228366852e-11;3.2105162972584367e-10;0.0;745.680045330018;0.0;4.092726157978177e-12;3.40349970429088e-12;0.0;0.0;0.0;6.622101139606439;0.0;0.0;0.0;0.0;0.0;0.0;4.312348985559067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.08;30.845561259684256;41893.22227962339;72.98409504338316;0.0;0.0;10.886727385162926;0.0;0.0;0.0;41144.285800093625;0.0;0.0;748.936479531118;0.0;-1.3503722584573552e-09;0.0;28.75337688060514;0.0;0.0;2.0921843790791166;0.0;0.0;0.0;75.49658237084564;0.0;0.0;5.900819601842491;0.0;0.0;0.0;4450412.336549653;0.0;0.0;0.0;0.0;0.0;0.0
