alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;111.84708976267444;249731.26108539297;0.0;41.55;65.7107375196987;0.28637298583984827;47.12;62.596000000000004;54.11;-2.467004378559068e-11;47240.336339272006;53514.56281484155;2392.519206485152;41411.01589314459;51722.343355073244;53450.48347657644;2.8083215686813824e-13;10.70150420436121;28.86043295137988;7.574820594156457;20.100637213955643;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;54.017527800656005;11.93012613874792;7.287670070594108;29.823747643008925;36.46534056589334;-1.0658141036401503e-07;6395083.93041551;176884208.07119483;16115195.690785645;131194988.37385513;33409844.61106473;109364341.98765436
0.0;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.01;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.02;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.03;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.04;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.05;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.06;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.07;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
0.08;95.17209955210038;224813.3058222991;0.0;41.55;52.84999999999998;13.935784718117826;31.26303440979126;62.596000000000004;54.11;0.0;47240.33633927201;48169.458791595636;745.680045329932;23485.003814451826;51722.343355073244;53450.48347657644;0.0;10.70150420436121;21.14825403245852;6.622101139606414;12.090545376853257;24.752668007552586;19.85702679126839;0.0;1.9260805969215793;38.02161884701615;4.31234898555914;3.6056168967161515;29.823747643008925;36.46534056589334;0.0;6395083.93041551;124117578.81320658;0.0;46161892.11621202;33409844.61106473;109364341.98765436
