alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;127.37380410607798;250000.00000000003;72.98400000000024;-4.517141789839507e-13;56.0;13.514400000000006;56.8071428818967;62.606;53.429000000000066;41144.266223406914;-2.900551018001352e-10;49475.07697682074;641.867576849776;54102.89502398831;51727.00320315162;52908.890995782946;28.753333559581712;0.0;22.661363776773015;6.590071638225933;24.994064249645124;24.756598933216374;19.618371948635833;75.49625274220868;0.0;41.55166133215941;4.424720082834399;10.14228169282726;29.837219179529683;35.91079959534284;4450429.8076531105;0.0;136291735.9774552;0.0;192580973.21049452;33415134.216743425;107146193.98721808
0.0;60.91030347860534;103273.94313099426;72.984;0.0;0.0;22.524000000000004;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.424655948767395e-10;51727.00320315174;5.326468491489322e-10;28.7533335595816;0.0;0.0;7.400370986225551;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554587;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743417;0.0
0.01;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.02;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.03;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.04;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.05;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.06;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.07;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
0.08;60.91030347860532;103273.94313085379;72.984;0.0;0.0;22.52399999999997;0.0;62.606;0.0;41144.26622340724;6.45741238258779e-11;0.0;10402.673704434816;-1.400728102019417e-07;51727.00320315174;0.0;28.753333559581606;0.0;0.0;7.4003709862255285;-4.1811432022411154e-10;24.756598933216303;0.0;75.49625274220784;0.0;1.8545165403338615e-12;4.505016846554553;0.0;29.837219179529683;0.0;4450429.807653157;0.0;-1.334043986389588e-06;10025832.767206544;0.0;33415134.216743425;0.0
