alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;132.4235578747828;249999.99999999997;72.98400000050682;0.0;65.71073751969772;0.0;51.39042296903755;62.60000000000002;55.009692609722975;41144.266223511535;-1.531225279904902e-07;53514.5628148412;2456.0672019360827;46994.8964655596;51724.20729430468;54166.0;28.753337442216946;0.0;28.860433442413214;7.625397924541603;22.257826744995786;24.754240377818043;20.17232194279723;75.49630378466883;0.0;54.01752780065471;11.721072522192618;8.546080232175123;29.82913625761723;37.197963786147284;4450442.04403039;8.268941087408166e-07;176884208.07119018;18846405.738635525;158256024.10124895;33411960.453336213;112294813.88672134
0.0;28.753333291053757;41144.26622340655;72.98399999999998;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223406696;-1.4733814168721437e-10;0.0;0.0;0.0;0.0;0.0;28.753333291053757;0.0;0.0;0.0;0.0;0.0;0.0;75.49625274220793;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653012;0.0;0.0;0.0;0.0;0.0;0.0
0.01;28.753333559581257;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576596;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.02;28.75333355958126;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.7533335595766;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.03;28.753333559581257;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576596;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.04;28.753333559581264;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576603;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.05;28.75333355958126;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.7533335595766;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.06;28.753333559581264;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576603;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.07;28.753333559581264;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576603;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.08;28.753333559581257;41144.26622340931;72.984;0.0;0.0;0.0;0.0;0.0;0.0;41144.266223407234;2.0696578169297224e-10;0.0;0.0;1.924320813806446e-09;3.438371378390315e-11;-8.880161981281276e-11;28.753333559576596;0.0;0.0;0.0;4.661203280992288e-12;0.0;0.0;75.49625274220816;0.0;0.0;0.0;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
