alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;132.4248594938024;250000.0;72.98400000000247;0.0;65.7107375196977;0.0;51.38826595311021;62.606092987060556;55.009692609722954;41144.26622340948;0.0;53514.56281484119;2456.067201936158;46992.05722610391;51727.04653370927;54166.0;28.75333355958272;0.0;28.860433445351564;7.625397924541603;22.25673713579069;24.756635485738578;20.172321942797222;75.49625274221444;0.0;54.0175278006547;11.721072522192614;8.545444601751317;29.837344447387906;37.19796378614727;4450429.807652703;-1.234568003383174e-06;176884208.07119012;18846405.738635547;158242355.41187146;33415183.40323178;112294813.8867213
0.0;-1.3708702708501394e-12;1.1646659628183898e-10;0.0;-3.3477002800304116e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.15835997877889e-10;0.0;-9.936940159605001e-11;-8.848664239997435e-15;0.0;0.0;0.0;-1.362021606610142e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;35.29408811402281;41690.0895265101;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223407234;3.1725392784210276e-10;6.523066531372024e-10;545.8233030998208;1.917840664056314e-09;0.0;1.4677984149649602e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.67541413570749e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.02;35.2940881140228;41690.08952650932;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223406994;3.1725392784210276e-10;1.1334577720845118e-10;545.8233030998208;1.917840664056314e-09;0.0;1.4677984149649602e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.661203280992288e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.03;35.29408811402281;41690.0895265101;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223407234;3.1725392784210276e-10;6.523066531372024e-10;545.8233030998208;1.917840664056314e-09;0.0;1.4677984149649602e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.67541413570749e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.04;35.2940881140228;41690.08952650932;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223406994;3.1725392784210276e-10;1.1334577720845118e-10;545.8233030998208;1.917840664056314e-09;0.0;1.4677984149649602e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.661203280992288e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.05;35.2940881140228;41690.08952650932;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223406994;3.1725392784210276e-10;1.1334577720845118e-10;545.8233030998208;1.917840664056314e-09;0.0;1.4677984149649602e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.661203280992288e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.06;35.29408811402281;41690.0895265101;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223407234;3.1725392784210276e-10;6.523066531372024e-10;545.8233030998208;1.917840664056314e-09;0.0;1.469813061800096e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.67541413570749e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.07;35.29408811402281;41690.0895265101;72.984;0.0;0.0;12.865577366012353;0.0;0.0;0.0;41144.266223407234;3.1725392784210276e-10;6.523066531372024e-10;545.8233030998208;1.917840664056314e-09;0.0;1.469813061800096e-10;28.753333559581602;0.0;0.0;6.540754554436539;4.67541413570749e-12;0.0;0.0;75.49625274220784;0.0;0.0;4.599323243927459;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
0.08;34.82583948547292;41865.40960785966;72.984;0.0;0.0;8.808251781668934;0.0;0.0;0.0;41144.26622340727;3.1725392784210276e-10;5.439886763269897e-09;721.1433844445614;1.917840664056314e-09;0.0;1.469813061800096e-10;28.753333559581602;0.0;0.0;6.0725059258866425;4.67541413570749e-12;0.0;0.0;75.49625274220784;0.0;0.0;7.431078364066583;0.0;0.0;0.0;4450429.807653155;0.0;0.0;0.0;0.0;0.0;0.0
