alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;125.51156674048065;249999.99999999997;72.97409504338316;0.0;39.99999999999994;31.026187235088585;50.628141407445646;59.78000000000001;49.769999999999996;41142.22603687334;0.0;37635.61408411442;24837.84154653769;45991.57018456007;50410.13013618335;49982.6180117311;28.7488188543553;0.0;18.384678221042982;14.523503463495992;21.872762825966344;23.64571934062981;18.336084034990222;75.46190045750984;0.0;23.636180104065392;7.339339276702896;8.321450758690133;26.030162958746565;32.93126154652565;4452250.560624377;0.0;78018941.81804812;27653029.08957947;153425559.12807527;31920291.65193897;95228127.12437291
1.0;125.51156674048062;250000.0;72.97409504338316;0.0;40.00000000000001;31.02618723508859;50.62814140744555;59.78;49.77;41142.22603687339;0.0;37635.61408411445;24837.841546537704;45991.57018456;50410.13013618335;49982.6180117311;28.7488188543553;0.0;18.384678221043004;14.523503463495992;21.872762825966294;23.645719340629807;18.336084034990225;75.46190045750984;0.0;23.63618010406546;7.339339276702898;8.321450758690105;26.030162958746565;32.931261546525654;4452250.560624393;0.0;78018941.81804828;27653029.089579478;153425559.12807474;31920291.651938967;95228127.12437294
0.99;124.25645107307581;246752.3959411145;72.97409504338314;0.0;39.99999999999999;31.02618723508859;48.14348500718015;59.78000000000005;49.77;41142.22603687335;0.0;37635.614084114444;24837.841546537704;42743.96612567452;50410.13013618336;49982.6180117311;28.748818854355292;0.0;18.384678221043;14.523503463495992;20.61764715856148;23.645719340629828;18.336084034990225;75.46190045750981;0.0;23.636180104065446;7.339339276702898;7.589271092928344;26.030162958746633;32.931261546525654;4452250.560624395;0.0;78018941.81804863;27653029.089579478;137680660.76428726;31920291.651938993;95228127.12437294
0.98;123.00133540567101;243516.4683962481;72.97409504338319;0.0;40.000000000000114;31.02618723508859;45.658828606914724;59.78;49.769999999999996;41142.22603687339;0.0;37635.61408411446;24837.841546537704;39508.03858080809;50410.13013618335;49982.6180117311;28.748818854355306;0.0;18.38467822104304;14.523503463495992;19.362531491156645;23.645719340629807;18.336084034990222;75.46190045750993;0.0;23.636180104065584;7.339339276702898;6.857091427166571;26.030162958746565;32.93126154652565;4452250.560624387;0.0;78018941.81804863;27653029.089579478;121935762.40049961;31920291.651938967;95228127.12437291
0.97;121.74621973826623;242752.23471903012;72.97409504338314;0.0;40.0;31.026187235088585;43.174172206649175;59.78000000000001;49.77000000000001;41142.226036873355;0.0;37635.61408411451;24837.841546537697;38743.804903590135;50410.13013618335;49982.6180117311;28.748818854355292;0.0;18.384678221043146;14.523503463495997;18.10741582375175;23.64571934062981;18.33608403499023;75.46190045750981;0.0;23.636180104065517;7.339339276702894;6.124911761404764;26.030162958746573;32.93126154652566;4452250.560624397;0.0;78018941.81804863;27653029.089579467;106190864.03671119;31920291.65193897;95228127.12437297
0.96;120.4911040708614;243377.93154602553;72.97409504338316;-8.881784197001252e-16;40.0;31.02618723508859;38.60000000000012;62.46514808102581;49.77;41142.226036873355;0.0;37635.614084114175;24837.841546537704;38118.26351801516;51661.368348754026;49982.6180117311;28.748818854355292;0.0;18.384678221043;14.523503463495992;15.79678840606951;24.701231090907374;18.336084034990225;75.46190045750981;0.0;23.63618010406546;7.339339276702898;4.940166422012698;29.64747000248086;32.931261546525654;4452250.560624393;0.0;78018941.81804828;27653029.089579478;77205014.53073615;33340629.105697066;95228127.12437294
0.95;119.2359884034566;241389.37186292105;72.97409504338323;0.0;40.0;31.02618723508859;38.20485940611864;59.780000000000015;49.77;41142.22603687336;0.0;37635.614084114364;24837.841546537704;37380.94204748117;50410.13013618335;49982.6180117311;28.748818854355328;0.0;18.384678221042993;14.523503463495992;15.59718448894225;23.645719340629814;18.336084034990225;75.46190045751007;0.0;23.63618010406546;7.339339276702898;4.868292745421703;26.03016295874658;32.931261546525654;4452250.560624379;0.0;78018941.81804828;27653029.089579478;74701067.309138;31920291.651938975;95228127.12437294
0.94;117.9808727360518;250000.0;67.36;28.063390300319803;40.0;31.02618723508859;38.6;59.780000000000015;33.917195308280675;39985.8553883247;25185.692201063823;37635.61408411447;24837.841546537707;38118.263518015;50410.13013618335;33826.60312576095;26.189899596673165;6.078529670104453;18.384678221043004;14.523503463495997;15.79678840606945;23.645719340629814;13.36175403803591;57.93470669898532;1.6964421999080481;23.63618010406546;7.339339276702899;4.940166422012677;26.03016295874658;19.48565487847184;5642771.949060437;7201239.702212242;78018941.81804828;27653029.089579485;77205014.53073536;31920291.651938975;43592492.72165851
0.9299999999999999;116.72575706864697;250000.0;67.36000000000006;35.70208751574624;40.0;17.03699999999997;38.6;59.780000000000015;38.44496242966754;39985.85538832475;41698.40292195451;37635.61408411444;2226.5803230885654;38118.263518015;50410.13013618335;39925.15362831937;26.189899596673186;10.129831686400802;18.384678221043014;6.85782487348046;15.79678840606945;23.645719340629814;15.721014944350252;57.93470669898544;2.240436582550295;23.63618010406546;3.7390340086776828;4.940166422012677;26.03016295874658;23.709239041718558;5642771.949060409;4738956.900901665;78018941.81804828;2429080.303347611;77205014.53073536;31920291.651938975;58340301.21908386
0.9199999999999999;115.47064140124219;250000.0;67.36000000000004;33.6989519083383;40.0;28.395;32.134723145693634;59.78000000000001;35.27470030111926;39985.855388324744;39663.59996111526;37635.61408411449;21151.611715113366;24990.92875494714;50410.13013618335;36162.259960201656;26.189899596673186;9.933431312441595;18.384678221042993;9.863528648684724;12.530875955123356;23.64571934062981;14.922508326646524;57.93470669898541;2.348962750180763;23.636180104065453;6.46219639662684;3.764171788980781;26.030162958746565;21.068949774964157;5642771.949060429;5311112.841629122;78018941.81804828;20816345.567547735;48516961.424738035;31920291.65193897;48014147.619525686
0.9099999999999999;114.21552573383738;250000.00000000128;67.35999999999999;36.72497197669929;40.0;28.394999999999992;31.26444812919359;59.78;34.30760327750102;39985.85538832474;42667.76721929552;37635.61408411451;21151.611715113224;23487.425063016544;50410.13013618335;34661.5963939534;26.189899596673165;10.229825476826049;18.384678221043103;9.86352864868488;12.09125951236551;23.64571934062984;13.810614937614837;57.93470669898541;2.185018601827746;23.6361801040655;6.462196396626852;3.6058740436979764;26.030162958746626;19.94076792626897;5642771.949060439;4588764.855087221;78018941.81804863;20816345.567547068;46162828.564119555;31920291.651938967;44864126.57816454
0.8999999999999999;112.96041006643257;250000.0;67.36000000000006;41.17500477883647;39.99999999999999;28.395000000000007;31.271583831488513;59.780000000000015;32.40763619887498;39985.85538832474;46884.96191239809;37635.61408411385;21151.611715113384;23499.64623569863;50410.13013618335;30432.18052816797;26.189899596673186;10.664845915974876;18.384678221043;9.863528648684722;12.094864087930702;23.645719340629814;12.116874255496267;57.93470669898544;1.9461246790865374;23.63618010406545;6.462196396626842;3.6071719846509858;26.030162958746583;17.469575627201873;5642771.949060409;6254618.814061884;78018941.81804828;20816345.567547757;46173918.70006323;31920291.651938975;38675568.31627078
