alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var
inf;65.29222575124052;98969.92707552073;72.98409504338316;0.0;65.71073751969789;0.0;0.0;0.0;0.0;41144.28580009363;0.0;53514.56281484129;2456.067201936159;-3.788659341807943e-08;806.3716427391358;1048.6396159484157;28.75337688060514;0.0;28.860432951379337;7.625397924541603;1.9420749162835513e-07;0.021270959292879543;0.03174684121407684;75.49658237084567;0.0;54.017527800654946;11.721072522192618;0.0;0.12654439147368501;25.525952217858798;4450412.336549651;0.0;176884208.07119116;18846405.738635533;0.0;6540609.105728681;10450179.321187157
0.0;-6.025327316836189e-12;7.358463960668295e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.391236234451916e-08;0.0;0.0;0.0;4.092726157978177e-12;-3.318154639941895e-10;0.0;0.0;0.0;-6.025327316836189e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.01;1.8939794785231803;754.3843177768226;0.0;0.0;0.0;10.833651288389717;0.0;0.0;0.0;0.0;0.0;0.0;754.3843177768226;0.0;0.0;0.0;0.0;0.0;0.0;1.8939794785231803;0.0;0.0;0.0;0.0;0.0;0.0;5.939896395438394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.02;1.8939794785231803;754.3843177768226;0.0;0.0;0.0;10.833651288389717;0.0;0.0;0.0;0.0;0.0;0.0;754.3843177768226;0.0;0.0;0.0;0.0;0.0;0.0;1.8939794785231803;0.0;0.0;0.0;0.0;0.0;0.0;5.939896395438394;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.03;2.0201623782006144;750.8992816224854;0.0;0.0;0.0;10.86760459387407;0.0;0.0;0.0;0.0;0.0;0.0;750.8992816224854;0.0;0.0;0.0;0.0;0.0;0.0;2.0201623782006144;0.0;0.0;0.0;0.0;0.0;0.0;5.914898583033689;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.04;6.083450681595003;733.408904823827;0.0;0.0;0.0;8.745355161578747;0.0;0.0;0.0;0.0;0.0;0.0;733.4089048238152;0.0;1.1823431123048067e-11;0.0;0.0;0.0;0.0;6.083450681595003;0.0;0.0;0.0;0.0;0.0;0.0;7.4773854286505985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.05;6.608354832103653;695.9097970378665;0.0;0.0;0.0;13.75493632327689;0.0;0.0;0.0;0.0;6.629919957049423e-11;0.0;695.9097970381199;0.0;1.1823431123048067e-11;-3.3151081879623234e-10;0.0;0.0;0.0;6.608354832103653;0.0;0.0;0.0;0.0;0.0;0.0;4.359989908204519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.06;6.4655117825736435;647.4291305017565;0.0;0.0;0.0;11.8756726579991;0.0;0.0;0.0;0.0;1.382431946694851e-10;0.0;647.429130501938;0.0;1.1823431123048067e-11;-3.3151081879623234e-10;0.0;0.0;0.0;6.4655117825736435;0.0;0.0;0.0;0.0;0.0;0.0;5.1727176378003525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.07;6.540754554436533;545.8233030998199;0.0;0.0;0.0;12.86557736601236;0.0;0.0;0.0;0.0;0.0;0.0;545.8233030998199;0.0;0.0;0.0;0.0;0.0;0.0;6.540754554436533;0.0;0.0;0.0;0.0;0.0;0.0;4.599323243927456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.08;6.083450681595;733.4089048238138;0.0;0.0;0.0;8.745355161578757;0.0;0.0;0.0;0.0;0.0;0.0;733.4089048238138;0.0;0.0;0.0;0.0;0.0;0.0;6.083450681595;0.0;0.0;0.0;0.0;0.0;0.0;7.47738542865059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
