alpha;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_oil_var;W2_oil_var;W3_oil_var;W4_oil_var;W5_oil_var;W6_oil_var;W7_oil_var;W1_gas_var;W2_gas_var;W3_gas_var;W4_gas_var;W5_gas_var;W6_gas_var;W7_gas_var;;sum var;sum std;exp gas;1std;2std;3std;;;;"""-2std"
inf;132,4248949;250000;72,98409504;0;65,71073752;3,39E-10;51,38825108;62,60609299;55,00969261;41144,2858;0;53514,56281;2456,067202;46992,03765;51727,04653;54166;28,75337688;0;28,86043295;7,625397925;22,2567297;24,75663549;20,17232194;75,49658237;0;54,0175278;11,72107252;8,545440219;29,83734445;37,19796379;4450412,337;0;176884208,1;18846405,74;158242261,2;33415183,4;112294813,9;;504133284,6;22452,91261;250000;272452,9126;294905,8252;317358,7378;;;;205094,1748
0;3,21E-12;4,08E-09;0;0;0;0;0;0;0;0;4,03E-09;0;0;0;4,09E-12;4,21E-11;0;0;0;3,21E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;4,08044E-09;4,08044E-09;4,08044E-09;4,08044E-09;#DIV/0!;#NUM!;250000;4,08044E-09
0,01;1,324248949;797,0983245;0;0;0;10,4175059;0;0;-1,56E-13;9,53E-11;0;0;797,0983245;0;0;0;0;0;0;1,324248949;0;0;0;0;0;0;6,246279652;0;0;0;0;0;0;0;0;0;0;;0;0;797,0983245;797,0983245;797,0983245;797,0983245;#DIV/0!;#NUM!;250000;797,0983245
0,02;5,793390048;761,225858;0;0;0;9,566912813;0;0;0;9,46E-11;0;0;761,225858;0;4,09E-12;-4,10E-10;0;0;0;5,793390048;0;0;0;0;0;0;6,872521079;0;0;0;0;0;0;0;0;0;0;;0;0;761,225858;761,225858;761,225858;761,225858;#DIV/0!;#NUM!;250000;761,225858
0,03;6,083450682;733,4089048;0;0;0;8,745355162;0;0;0;9,53E-11;0;0;733,4089048;0;0;0;0;0;0;6,083450682;0;0;0;0;0;0;7,477385429;0;0;0;0;0;0;0;0;0;0;;0;0;733,4089048;733,4089048;733,4089048;733,4089048;#DIV/0!;#NUM!;250000;733,4089048
0,04;6,236271988;687,5643223;0;0;0;11,48465163;0;0;0;0;0;0;687,5643223;0;0;0;0;0;0;6,236271988;0;0;0;0;0;0;5,460603316;0;0;0;0;0;0;0;0;0;0;;0;0;687,5643223;687,5643223;687,5643223;687,5643223;#DIV/0!;#NUM!;250000;687,5643223
0,05;6,628904312;775,5244579;0;0;0;14,02528823;0;0;0;0;0;0;775,5244579;0;0;0;0;0;0;6,628904312;0;0;0;0;0;0;4,291101829;0;0;-2,49E-14;0;0;0;0;0;0;0;;0;0;775,5244579;775,5244579;775,5244579;775,5244579;#DIV/0!;#NUM!;250000;775,5244579
0,06;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;-3,91E-11;0;0;0;0;0;28,75337688;0;0;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,07;34,69728078;41904,47512;72,98409504;0;0;9,547293683;0;0;0;41144,2858;0;0;760,189317;0;4,09E-12;-4,10E-10;28,75337688;0;0;5,943903895;0;0;0;75,49658237;0;0;6,886965485;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41904,47512;44014,07516;46123,6752;48233,27524;98,64216949;1;250000;37685,27503
0,08;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;-4,10E-10;0;0;0;0;0;28,75337688;0;0;0;0;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
0,09;28,75337688;41144,2858;72,98409504;0;0;0;0;0;0;41144,2858;0;0;0;0;4,09E-12;-4,10E-10;28,75337688;0;0;0;-2,02E-12;0;0;75,49658237;0;0;0;0;0;0;4450412,337;0;0;0;0;0;0;;4450412,337;2109,600042;41144,2858;43253,88584;45363,48588;47473,08593;99,00251709;1;250000;36925,08572
