;scenarios;std;mean
0;10;3,6481865;93,55843313
1;20;4,451060028;91,63772645
2;30;6,521547814;85,85785017
3;40;7,054283133;82,63134147
4;50;7,979016147;81,29771447
5;60;6,775132418;79,96732601
6;70;7,273750511;75,64722189
7;80;6,97490765;72,77333058
8;90;7,593896196;72,48362851
9;100;6,904433302;73,93666954
10;110;7,581984667;69,45966912
11;120;6,998131213;70,37071746
12;130;5,925831557;71,08188967
13;140;7,252815271;68,91394399
14;150;5,688098656;69,672003
15;160;5,59960738;68,92123487
16;170;5,382035327;66,89457296
17;180;6,175472818;68,52354755
18;190;5,53156671;66,78318231
19;200;7,365093489;65,54885759
20;210;4,989301231;67,91365879
21;220;4,111381162;64,61667186
22;230;5,418884986;64,15241932
