;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;0.0;122.07425196457038;246284.4738219145;72.97409504338323;0.0;40.0;28.395;52.263237771605986;59.78;46.68229967821568
1;0.0;121.16155018075678;246124.60837456054;72.97409504338323;0.0;40.0;39.753;38.6;59.78;45.16587257293999
2;2.0;115.72630451771113;245266.3015625301;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
3;1.0;114.98445715085086;245463.38807699538;72.97409504338323;0.0;40.0;28.395;38.6;58.070339229786995;49.77
4;2.0;115.72630451771113;245481.46847729018;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
5;2.0;115.72630451771113;245580.66750465642;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
6;2.0;115.72630451771113;245963.51831979043;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
7;2.0;115.72630451771113;246200.048582334;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
8;2.0;115.72630451771113;247005.18664672287;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
9;2.0;115.72630451771113;245408.40059391718;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
10;2.0;115.72630451771113;246186.55298802006;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
11;2.0;115.72630451771113;244649.50053118545;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
12;2.0;115.72630451771113;245394.87206058105;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
13;2.0;115.72630451771113;245206.30610538955;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
14;2.0;115.72630451771113;245715.34821089744;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
15;2.0;115.72630451771113;246457.67144329922;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
16;2.0;115.72630451771113;246511.4102623324;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
17;2.0;115.72630451771113;246475.9233984023;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
18;2.0;115.72630451771113;246916.68242033894;72.97409504338323;0.0;40.0;28.395;38.6;59.78;49.77
