;switch-off penalty
0;100.92890521329605
1;100.92890521329605
2;100.92890521329605
3;100.92890521329605
4;100.92890521329605
5;100.92890521329605
6;100.92890521329605
7;100.92890521329605
8;100.92890521329605
9;100.92890521329605
10;100.92890521329605
11;100.92890521329605
12;100.92890521329605
13;100.92890521329605
14;100.92890521329605
15;100.92890521329605
16;100.92890521329605
17;100.92890521329605
18;100.92890521329605
19;100.92890521329605
20;100.92890521329605
21;100.92890521329605
22;100.92890521329605
23;100.92890521329605
24;100.92890521329605
25;100.92890521329605
26;100.92890521329605
27;100.92890521329605
28;100.92890521329605
29;100.92890521329605
30;100.92890521329605
31;100.92890521329605
32;100.92890521329605
33;100.92890521329605
34;100.92890521329605
35;100.92890521329605
36;100.92890521329605
37;100.92890521329605
38;100.92890521329605
39;100.92890521329605
40;100.92890521329605
41;100.92890521329605
42;100.92890521329605
43;100.92890521329605
44;100.92890521329605
45;100.92890521329605
46;100.92890521329605
47;100.92890521329605
48;100.92890521329605
49;100.92890521329605
50;100.92890521329605
51;100.92890521329605
52;100.92890521329605
53;100.92890521329605
54;100.92890521329605
55;100.92890521329605
56;100.92890521329605
57;100.92890521329605
58;100.92890521329605
59;100.92890521329605
60;100.92890521329605
61;100.92890521329605
62;100.92890521329605
63;100.92890521329605
64;100.92890521329605
65;100.92890521329605
66;100.92890521329605
67;100.92890521329605
68;100.92890521329605
69;100.92890521329605
70;100.92890521329605
71;100.92890521329605
72;100.92890521329605
73;100.92890521329605
74;100.92890521329605
75;100.92890521329605
76;100.92890521329605
77;100.92890521329605
78;100.92890521329605
79;100.92890521329605
80;100.92890521329605
81;100.92890521329605
82;100.92890521329605
83;100.92890521329605
84;100.92890521329605
85;100.92890521329605
86;100.92890521329605
87;100.92890521329605
88;100.92890521329605
89;100.92890521329605
90;100.92890521329605
91;100.92890521329605
92;100.92890521329605
93;100.92890521329605
94;100.92890521329605
95;100.92890521329605
96;100.92890521329605
97;100.92890521329605
98;100.92890521329605
99;100.92890521329605
100;100.92890521329605
101;100.92890521329605
102;100.92890521329605
103;100.92890521329605
104;100.92890521329605
105;100.92890521329605
106;100.92890521329605
107;100.92890521329605
108;100.92890521329605
109;100.92890521329605
110;100.92890521329605
111;100.92890521329605
112;100.92890521329605
113;100.92890521329605
114;100.92890521329605
115;100.92890521329605
116;100.92890521329605
117;100.92890521329605
118;100.92890521329605
119;100.92890521329605
120;100.92890521329605
121;100.92890521329605
122;100.92890521329605
123;100.92890521329605
124;100.92890521329605
125;100.92890521329605
126;100.92890521329605
127;100.92890521329605
128;100.92890521329605
129;100.92890521329605
130;100.92890521329605
131;100.92890521329605
132;100.92890521329605
133;100.92890521329605
134;100.92890521329605
135;100.92890521329605
136;100.92890521329605
137;100.92890521329605
138;100.92890521329605
139;100.92890521329605
140;100.92890521329605
141;100.92890521329605
142;100.92890521329605
143;100.92890521329605
144;100.92890521329605
145;100.92890521329605
146;100.92890521329605
147;100.92890521329605
148;100.92890521329605
149;100.92890521329605
150;100.92890521329605
151;100.92890521329605
152;100.92890521329605
153;100.92890521329605
154;100.92890521329605
155;100.92890521329605
156;100.92890521329605
157;100.92890521329605
158;100.92890521329605
159;100.92890521329605
160;100.92890521329605
161;100.92890521329605
162;100.92890521329605
163;100.92890521329605
164;100.92890521329605
165;100.92890521329605
166;100.92890521329605
167;100.92890521329605
168;100.92890521329605
169;100.92890521329605
170;100.92890521329605
171;100.92890521329605
172;100.92890521329605
173;100.92890521329605
174;100.92890521329605
175;100.92890521329605
176;100.92890521329605
177;100.92890521329605
178;100.92890521329605
179;100.92890521329605
180;100.92890521329605
181;100.92890521329605
182;100.92890521329605
183;100.92890521329605
184;100.92890521329605
185;100.92890521329605
186;100.92890521329605
187;100.92890521329605
188;100.92890521329605
189;100.92890521329605
190;100.92890521329605
191;100.92890521329605
192;100.92890521329605
193;100.92890521329605
194;100.92890521329605
195;100.92890521329605
196;100.92890521329605
197;100.92890521329605
198;100.92890521329605
199;100.92890521329605
