;infeasible count;oil output;gas output;W1_choke_final;W2_choke_final;W3_choke_final;W4_choke_final;W5_choke_final;W6_choke_final;W7_choke_final
0;1.0;119.95734899392251;226104.4647951285;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
1;1.0;119.95734899392251;226287.0326214495;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
2;1.0;119.95734899392251;229161.4522381012;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
3;1.0;119.95734899392251;231516.04975123118;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
4;1.0;119.95734899392251;229484.00334562955;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
5;1.0;119.95734899392251;226133.63757601922;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
6;1.0;119.95734899392251;227987.62811753398;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
7;1.0;119.95734899392251;228299.24540970346;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
8;1.0;119.95734899392251;237953.08561134693;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
9;1.0;119.95734899392251;236784.41447253816;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
10;1.0;119.95734899392251;236127.7776865171;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
11;1.0;119.95734899392251;242436.5071327992;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
12;1.0;119.95734899392251;234499.15086118894;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
13;1.0;119.95734899392251;233080.38042801654;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
14;1.0;119.95734899392251;234464.3872529488;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
15;1.0;119.95734899392251;245937.36541216273;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
16;1.0;119.95734899392251;243417.41028340056;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
17;1.0;119.95734899392251;232891.1794134929;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
18;1.0;119.95734899392251;228137.73235536105;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
19;1.0;119.95734899392251;232885.13611617766;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
20;1.0;119.95734899392251;233799.44801766967;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
21;0.0;119.95734899392251;224546.64148386943;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
22;1.0;119.95734899392251;242265.27424278113;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
23;1.0;119.95734899392251;228583.22573735213;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
24;1.0;119.95734899392251;238500.84265618413;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
25;1.0;119.95734899392251;234755.72058247772;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
26;1.0;119.95734899392251;238576.01260209183;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
27;1.0;119.95734899392251;229707.26538439584;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
28;1.0;119.95734899392251;233248.8836737375;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
29;1.0;119.95734899392251;240306.40000965146;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
30;1.0;119.95734899392251;225253.2006081221;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
31;1.0;119.95734899392251;242795.99595548873;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
32;1.0;119.95734899392251;226139.08186257735;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
33;1.0;119.95734899392251;230036.88769820385;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
34;1.0;119.95734899392251;226286.7980365542;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
35;1.0;119.95734899392251;239253.72299223574;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
36;1.0;119.95734899392251;238019.6418382889;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
37;2.0;119.95734899392251;246841.51127647076;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
38;2.0;119.95734899392251;239936.15428139435;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
39;1.0;119.95734899392251;225284.43815629242;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
40;1.0;119.95734899392251;240333.5820985663;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
41;2.0;119.95734899392251;242332.38984807974;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
42;2.0;119.95734899392251;252315.9968972465;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
43;1.0;119.95734899392251;237098.35209918336;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
44;1.0;119.95734899392251;228230.48990292882;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
45;1.0;119.95734899392251;233362.49976464084;72.984;0.0;62.0;20.0;53.227;62.606;28.526576962234046
