;switch-off penalty
0;110.10899580321045
1;110.10899580321045
2;110.10899580321045
3;110.10899580321045
4;110.10899580321045
5;110.10899580321045
6;110.10899580321045
7;110.10899580321045
8;110.10899580321045
9;110.10899580321045
10;110.10899580321045
11;110.10899580321045
12;110.10899580321045
13;110.10899580321045
14;110.10899580321045
15;109.42102704897154
16;110.10899580321045
17;110.10899580321045
18;110.10899580321045
19;110.10899580321045
20;110.10899580321045
21;110.10899580321045
22;110.10899580321045
23;110.10899580321045
24;110.10899580321045
25;110.10899580321045
26;110.10899580321045
27;110.10899580321045
28;110.10899580321045
29;110.10899580321045
30;110.10899580321045
31;110.10899580321045
32;110.10899580321045
33;110.10899580321045
34;110.10899580321045
35;110.10899580321045
36;110.10899580321045
37;109.42102704897154
38;85.80648212784003
39;110.10899580321045
40;110.10899580321045
41;85.80648212784003
42;85.80648212784003
43;110.10899580321045
44;110.10899580321045
45;110.10899580321045
46;110.10899580321045
47;110.10899580321045
48;109.42102704897154
49;110.10899580321045
50;110.10899580321045
51;110.10899580321045
52;109.42102704897154
53;110.10899580321045
54;85.80648212784003
55;110.10899580321045
56;110.10899580321045
57;110.10899580321045
58;110.10899580321045
59;110.10899580321045
60;109.42102704897154
61;110.10899580321045
62;110.10899580321045
63;110.10899580321045
64;110.10899580321045
65;85.80648212784003
66;110.10899580321045
67;110.10899580321045
68;110.10899580321045
69;110.10899580321045
70;110.10899580321045
71;110.10899580321045
72;110.10899580321045
73;110.10899580321045
74;110.10899580321045
75;110.10899580321045
76;110.10899580321045
77;110.10899580321045
78;110.10899580321045
79;110.10899580321045
80;110.10899580321045
81;110.10899580321045
82;110.10899580321045
83;110.10899580321045
84;110.10899580321045
85;110.10899580321045
86;110.10899580321045
87;110.10899580321045
88;110.10899580321045
89;110.10899580321045
90;110.10899580321045
91;109.42102704897154
92;110.10899580321045
93;110.10899580321045
94;110.10899580321045
95;110.10899580321045
96;85.80648212784003
97;110.10899580321045
98;110.10899580321045
99;110.10899580321045
100;109.42102704897154
101;110.10899580321045
102;110.10899580321045
103;110.10899580321045
104;110.10899580321045
105;110.10899580321045
106;110.10899580321045
107;110.10899580321045
108;110.10899580321045
109;110.10899580321045
110;109.42102704897154
111;110.10899580321045
112;110.10899580321045
113;110.10899580321045
114;110.10899580321045
115;110.10899580321045
116;110.10899580321045
117;110.10899580321045
118;85.80648212784003
119;110.10899580321045
120;110.10899580321045
121;110.10899580321045
122;110.10899580321045
123;110.10899580321045
124;110.10899580321045
125;110.10899580321045
126;85.80648212784003
127;110.10899580321045
128;110.10899580321045
129;110.10899580321045
130;110.10899580321045
131;110.10899580321045
132;110.10899580321045
133;110.10899580321045
134;110.10899580321045
135;110.10899580321045
136;110.10899580321045
137;110.10899580321045
138;110.10899580321045
139;110.10899580321045
140;110.10899580321045
141;110.10899580321045
142;110.10899580321045
143;110.10899580321045
144;110.10899580321045
145;110.10899580321045
146;85.80648212784003
147;110.10899580321045
148;110.10899580321045
149;110.10899580321045
150;110.10899580321045
151;110.10899580321045
152;110.10899580321045
153;110.10899580321045
154;110.10899580321045
155;110.10899580321045
156;110.10899580321045
157;110.10899580321045
158;110.10899580321045
159;110.10899580321045
160;110.10899580321045
161;110.10899580321045
162;110.10899580321045
163;110.10899580321045
164;110.10899580321045
165;110.10899580321045
166;110.10899580321045
167;110.10899580321045
168;110.10899580321045
169;109.42102704897154
170;85.80648212784003
171;110.10899580321045
172;85.80648212784003
173;110.10899580321045
174;110.10899580321045
175;110.10899580321045
176;110.10899580321045
177;110.10899580321045
178;110.10899580321045
179;110.10899580321045
180;110.10899580321045
181;110.10899580321045
182;85.80648212784003
183;110.10899580321045
184;110.10899580321045
185;110.10899580321045
186;110.10899580321045
187;110.10899580321045
188;110.10899580321045
189;110.10899580321045
190;110.10899580321045
191;110.10899580321045
192;110.10899580321045
193;110.10899580321045
194;110.10899580321045
195;110.10899580321045
196;110.10899580321045
197;110.10899580321045
198;110.10899580321045
199;110.10899580321045
