;switch-off penalty
0;107.91356034289178
1;109.39784984860049
2;106.94083191325434
3;109.12753313613756
4;100.44842107219219
5;108.25097811030349
6;103.38392156475855
7;105.67241367941817
8;106.73790285146141
9;102.7394979222948
10;102.91562682964458
11;104.06542781717009
12;107.05798796839382
13;100.39872269091646
14;107.02145450348269
15;100.84804050377285
16;103.18205941458923
17;102.02010524702469
18;110.02513618062937
19;106.36810966249719
20;107.29354475769053
21;110.31833022378522
22;103.56647944670387
23;106.67207999667136
24;106.28389313329265
25;102.38607083879887
26;102.84704948959751
27;109.28636189290769
28;105.89340521295084
29;98.91378014824545
30;107.25495686846344
31;99.9774331550319
32;107.0902631981452
33;104.04369705153404
34;109.45365423559645
35;99.54790093328371
36;107.10956575903296
37;102.9966672631736
38;107.67299397150015
39;104.93383368344604
40;97.99149260347534
41;100.62624867545507
42;101.90441169582995
43;107.60665428035456
44;98.91567339669386
45;106.95342155757686
46;105.7312003526473
47;107.70479924965977
48;101.87503219324955
49;106.37455641861506
50;103.81839292397775
51;106.14916595271376
52;103.95767319583041
53;103.5364748041918
54;102.41328390505684
55;106.16691848560744
56;106.16183293046907
57;99.79040181218845
58;100.55872133765932
59;107.01345358515863
60;103.06873778123142
61;106.88012819525335
62;101.90060804209324
63;105.894906665289
64;101.91242935589943
65;107.81261872640312
66;103.13059204047173
67;106.52659604653513
68;105.81193653927193
69;109.00256109699194
70;103.17098648079157
71;104.74839600572365
72;98.81417588961105
73;102.21036865856665
74;111.45454157898693
75;100.56268505023445
76;102.93960918258936
77;103.8399358963331
78;106.12539251472201
79;102.91005139500813
80;104.79054060822
81;105.85789428670908
82;100.06477134126638
83;100.43258065633621
84;108.92173182974851
85;99.04712811643664
86;106.58595802805631
87;102.25319008972004
88;108.73766450440507
89;104.33833630337143
90;105.9906845150142
91;103.3167390842597
92;106.98170634515918
93;102.8416332517676
94;101.50776365231087
95;99.93074500674177
96;109.18550945343263
97;105.94336840944
98;99.36229639844184
99;107.29756326965443
100;99.59645650792973
101;101.60645752801454
102;101.44517734278864
103;107.25105451554062
104;102.55598036020885
105;103.56827461383841
106;109.03143399600576
107;102.58753303093796
108;106.5881390494777
109;106.16920207628763
110;102.21363110142548
111;104.65689228322672
112;107.28957456259836
113;101.611129127029
114;99.896422935279
115;103.89314452224262
116;107.65065612899656
117;107.55022301840401
118;106.01275508860886
119;104.14554366353408
120;105.926621151406
121;106.84156208981508
122;99.5751853052352
123;101.75165375188013
124;104.08568939175647
125;101.8800327384785
126;104.44306856582442
127;102.02985539822744
128;103.41706001307271
129;105.35767417971087
130;109.5528745185171
131;98.80106303330686
132;101.27792927137676
133;103.12450289945411
134;99.78034180614313
135;99.96983146768349
136;102.1259967644343
137;104.15313425194519
138;102.49304370681055
139;104.18609891453995
140;110.24411500964837
141;100.42698092349255
142;100.39431904135205
143;98.07358526227252
144;107.23748113486158
145;94.72186556779933
146;105.80230973045444
147;105.68297708878781
148;103.55938079691771
149;101.44887648307946
150;103.68764760198424
151;102.9992404109952
152;107.42534927216064
153;100.4240465368808
154;103.89263138662659
155;99.84055753144862
156;100.41033527022554
157;102.69751482004486
158;94.78154588463079
159;108.62778433899355
160;101.33300504830494
161;99.7815447016806
162;102.34781284747733
163;106.83342379395744
164;107.6080712762149
165;103.65001303194894
166;107.5033517496226
167;101.90054993874314
168;108.65000988317585
169;100.20434807638766
170;101.39308562955569
171;105.9386147896617
172;105.82304709899712
173;101.63190115652289
174;100.70573687119504
175;112.16983444520372
176;108.14087141067085
177;106.3985738187124
178;106.60763821048205
179;101.18613398666824
180;102.79905204160828
181;108.96360314390877
182;106.31466434952091
183;100.67071190051016
184;98.07087038225453
185;104.40646692763296
186;104.35801217526358
187;104.17591296602986
188;99.14560591310493
189;106.46640318067988
190;102.83226618633137
191;107.87972895055144
192;107.88951475964396
193;101.55809662520204
194;102.61553837354192
195;99.32790075965292
196;102.89336774165207
197;98.90181286014608
198;102.62784108380892
199;99.9497100959753
