;switch-off penalty
0;106.2715943820824
1;105.89682909766731
2;104.16044940693207
3;111.60305356876391
4;108.80984954144353
5;110.8082985029105
6;104.56384238207191
7;108.54317435638909
8;109.4149806982346
9;104.56384238207191
10;109.1609667399118
11;108.78634565065602
12;104.56384238207191
13;104.56384238207191
14;110.23383265214474
15;104.01412393421627
16;104.56384238207191
17;108.55707851869484
18;111.39379142824686
19;104.56384238207191
20;109.55559762248768
21;105.57798391231128
22;104.56384238207191
23;109.72158514251656
24;109.3323355790557
25;108.76478850695356
26;104.56384238207191
27;107.5516335730127
28;109.31158929788285
29;108.86597243109304
30;110.37578706177618
31;108.95815597281558
32;108.8743725284955
33;110.3319618932058
34;108.49578214677686
35;104.56384238207191
36;109.56190744210987
37;108.87161729582658
38;111.23188793600704
39;109.58367379444485
40;108.88054858324429
41;85.73266357222995
42;83.31049438215335
43;111.2484989574412
44;109.59305488152935
45;109.44525689109504
46;108.936544310099
47;109.59725573183523
48;107.14492611069493
49;110.28417438056029
50;108.49581564735149
51;109.56642688478779
52;85.72116589394612
53;105.55341055040165
54;107.93191314243637
55;109.37706054299808
56;109.11664584344079
57;108.667609824449
58;108.9582512384715
59;109.79385548157751
60;108.856699291117
61;110.32444421951142
62;107.14492611069493
63;109.92819096121215
64;108.79211558214891
65;87.45575010124917
66;108.51887204339388
67;108.46154980032972
68;109.55559762248768
69;111.6777151453896
70;109.47112496993276
71;109.18698018092684
72;109.55559762248768
73;109.55559762248768
74;111.15434167929553
75;104.56384238207191
76;109.0620711070874
77;109.55559762248768
78;109.17454260394449
79;108.60953192935943
80;109.55559762248768
81;109.55559762248768
82;108.79876414379723
83;108.67811217930887
84;109.45140121067377
85;109.05778997637613
86;109.1164373023392
87;107.14492611069493
88;109.77516536912542
89;108.88618312541256
90;111.15603081843516
91;107.80799687398263
92;111.95411730229749
93;108.82948450088008
94;108.46449249371791
95;108.51362177139255
96;109.13438290265299
97;110.26233871062962
98;104.56384238207191
99;110.65905494093586
100;106.94138062076664
101;104.50997799920735
102;104.56384238207191
103;110.05121338975937
104;108.83102504228498
105;109.44070506270674
106;110.81772487038552
107;103.99245947870381
108;109.57847537559886
109;109.98171135406956
110;104.56384238207191
111;105.52508754270931
112;109.27161098961977
113;104.56384238207191
114;109.37997873732999
115;108.52142701944449
116;110.59040584308407
117;110.44160674510208
118;85.72116589394612
119;109.2976395695732
120;109.3952964639707
121;109.58746857475857
122;109.51666527245004
123;108.80763196035124
124;109.00494139004091
125;109.41493172004252
126;109.55559762248768
127;107.14492611069493
128;108.38325811692509
129;105.60310890233238
130;110.15483806764459
131;107.01518110433194
132;104.56384238207191
133;104.56384238207191
134;104.45002337315836
135;109.61704215377293
136;107.14492611069493
137;108.88811727775216
138;108.74105480056652
139;110.4281959511867
140;110.379984845271
141;108.73113950175858
142;109.31077499398391
143;108.88781132299448
144;111.1938723702355
145;109.55559762248768
146;85.77648443549892
147;108.57803055746605
148;109.1487127875721
149;108.39156332277487
150;109.55559762248768
151;109.55559762248768
152;110.2499587687123
153;108.41852983904863
154;108.76141840309576
155;104.53843131153108
156;104.56384238207191
157;108.50240931661614
158;104.56384238207191
159;109.99330690832441
160;108.42846667277449
161;109.55559762248768
162;105.46725793317245
163;104.56384238207191
164;110.99709574289272
165;109.38298208606858
166;109.59142620278679
167;108.51167473914415
168;111.18844232104306
169;106.01510620080586
170;109.55559762248768
171;109.44314075714641
172;85.72116589394612
173;108.43966370534723
174;107.14492611069493
175;114.62376730043769
176;109.26653565846806
177;109.25965242527256
178;109.91795237421844
179;108.83503540421499
180;108.61235512464596
181;109.66952330649887
182;89.17007353078331
183;109.57025211761736
184;109.24094013625223
185;104.56384238207191
186;108.87462853412701
187;110.23454259905589
188;104.56384238207191
189;105.65450737158727
190;109.12309482348108
191;111.8246628381981
192;108.60978160537763
193;104.56384238207191
194;109.09997392771379
195;109.51573181867468
196;109.81345211315526
197;107.14492611069493
198;109.3738496136122
199;105.6442986525892
