;switch-off penalty
0;111.81777934351659
1;114.07921606939742
2;112.96713920461224
3;114.21055349515215
4;114.05073598976853
5;112.53060703626238
6;113.29719685605284
7;110.96590223227301
8;115.00948939705455
9;115.15993230234119
10;114.33597016051789
11;111.75922086234553
12;110.54199825492928
13;111.13958578131752
14;114.47931502715642
15;111.92904997479096
16;113.55728182919704
17;114.12021120465788
18;114.35092375968048
19;114.16119073646648
20;111.21524997513916
21;113.95691992549429
22;114.88226274236854
23;96.74064936886694
24;115.03153944064228
25;113.76584537149202
26;113.48861472407884
27;111.34035717518296
28;110.39845748626965
29;114.33706918958154
30;113.34209136747627
31;108.11754001460731
32;111.134986428699
33;116.61373047477932
34;111.33105706157929
35;112.50948571969677
36;111.10852553558935
37;114.30769189975143
38;112.21661456562632
39;112.69967990280428
40;112.53237354699742
41;111.82076723591076
42;111.10065787993034
43;114.28333167103872
44;111.93995304273386
45;114.938055939856
46;113.09554201166212
47;111.4298628821512
48;113.67099527036713
49;111.37649545747179
50;114.08547005815149
51;109.20036058623009
52;114.67857233727543
53;113.75536682853868
54;112.48738644256944
55;113.0276039202466
56;113.13195053902204
57;114.92136061091641
58;111.4659807152828
59;113.19847051204368
60;113.5314479970112
61;114.70490264004341
62;113.91840585507587
63;113.38095227191243
64;113.46202172264259
65;113.68810708170513
66;113.69783184621856
67;111.68605564328104
68;111.58373015684056
69;112.69823495114454
70;111.68385503269668
71;112.94984498852564
72;114.2714403510449
73;112.78358960543079
74;112.46776409508736
75;112.70649699803306
76;114.0425697853072
77;114.81529186253285
78;111.79936955959353
79;114.9919875471242
80;113.27826198073387
81;115.8332628347996
82;114.87887398334206
83;113.74817336203884
84;113.01786019084952
85;113.71774954940709
86;114.41683015438002
87;112.86839177202093
88;114.01215265911112
89;113.16092712998451
90;114.8573019209968
91;114.53332512717587
92;114.23894506860037
93;113.59607207612636
94;110.7096101901885
95;114.22831432195696
96;113.37549633637337
97;112.17001269403008
98;114.55216547864228
99;113.5205619064052
100;113.7821296312155
101;113.3012894614094
102;109.8398015882744
103;112.52589026549057
104;113.43680178501027
105;113.36559580516432
106;112.81593229028485
107;112.27940586641371
108;111.49480214201223
109;113.95768446479497
110;112.73965220871702
111;111.26610952020005
112;115.72888053008371
113;112.673413516642
114;111.62198162323843
115;112.5434937466744
116;113.56144486185995
117;112.337218838246
118;114.64421687150177
119;113.29361902050215
120;95.56968102058667
121;114.56497826126257
122;111.81149097338256
123;113.599132538904
124;111.77840903754765
125;112.22690669644577
126;114.24781287446484
127;111.5627915512103
128;110.85308061920469
129;114.31174031666245
130;112.68975633939648
131;114.19770200399044
132;113.74106080077111
133;114.82471437850351
134;113.40216696359884
135;112.59012462887642
136;115.12770493668684
137;109.25109431052128
138;116.20874613086201
139;113.08204295595736
140;115.17728463383276
141;111.8437307501001
142;112.1298471079912
143;114.34699445970469
144;114.17187480252892
145;115.1417845628876
146;114.83592940391884
147;114.66637417660408
148;113.57253875525429
149;112.65748513896546
150;113.17585522139221
151;96.45007913518856
152;113.03916586430005
153;113.67717811688296
154;111.16961943982795
155;112.89399976829432
156;112.55326884504669
157;109.6594049085104
158;99.37069461185885
159;113.24228215913118
160;109.63829852710056
161;114.75981955022024
162;113.37308986771038
163;113.43606007187338
164;114.12531787011558
165;109.89421937479004
166;111.83853045583912
167;113.19443012906065
168;115.00882482829205
169;114.3984533711186
170;115.27869600063936
171;115.0866144002536
172;113.63746430462666
173;112.17667731058087
174;110.78374570550235
175;113.90222782765905
176;111.7261634349347
177;115.18131736690235
178;113.20705863640404
179;113.80659067994742
180;94.62904611712293
181;113.29408862614109
182;116.14372875288618
183;113.29146080921876
184;113.33778142249298
185;113.98999674931345
186;112.20503541949844
187;112.07191741467594
188;116.8134131298863
189;114.60978474531765
190;114.51755840243842
191;110.54039721738256
192;113.44094636465677
193;111.92220010959448
194;114.00066163186187
195;98.41244504058804
196;111.61860945230251
197;112.349357697473
198;112.8218324826732
199;111.07692475561585
