;switch-off penalty
0;106.77213511802272
1;89.04782274675374
2;114.1736690379955
3;105.7958224330934
4;135.46605101953065
5;77.93545847631115
6;105.62830895508128
7;99.20942192857808
8;107.13506893568048
9;115.60177624554089
10;109.02921931503477
11;115.10286651574785
12;84.77096006735098
13;107.82504936743683
14;111.72043618527633
15;86.95773282358968
16;99.53044780670956
17;114.24275841224159
18;112.97402824962106
19;107.78987746542118
20;105.74623506362165
21;106.65496569174738
22;111.48956233518985
23;115.81816072252863
24;112.18899420775313
25;105.77022740296299
26;102.04291335321835
27;134.13430439008644
28;104.87980367902655
29;111.15357378263215
30;106.76682415520366
31;97.52015765286313
32;94.39763280381112
33;135.99373742432388
34;115.81816072252863
35;74.47222460315918
36;89.71391217889389
37;104.68991984928917
38;115.81816072252863
39;106.01808017427967
40;101.74286018639404
41;105.07234540051006
42;105.67169182079483
43;104.88142523705397
44;105.48129977652371
45;105.93485722784
46;99.09638862683894
47;85.27206056945019
48;106.09065775696952
49;76.61232527251283
50;103.3574277920151
51;80.00349755940334
52;115.81816072252863
53;86.57798965004903
54;92.27988025096614
55;93.65384889580402
56;115.81816072252863
57;107.45437942807372
58;103.55661950679664
59;106.68641463316158
60;111.8289513449547
61;108.45251536457062
62;114.69463829167972
63;115.03323949705765
64;82.19036343464884
65;113.18662278176555
66;115.81816072252863
67;134.07247680046092
68;107.46071956201064
69;101.38851453491932
70;116.0649624435001
71;135.99373742432385
72;133.6636401692309
73;105.16315214799262
74;98.67120402273086
75;105.71859517821997
76;105.18926804145147
77;115.81816072252863
78;107.13330952538493
79;99.81034887650459
80;107.01904131570046
81;105.11260855400701
82;115.81816072252863
83;114.71750798596258
84;108.29480571617343
85;104.21009717619461
86;135.99373742432388
87;98.64612001845154
88;135.94628163733466
89;107.13330952538492
90;112.06459818468053
91;106.61812968979964
92;90.09063923966707
93;100.04995314712573
94;98.95207010729717
95;98.47380878801408
96;110.51278383445455
97;102.04038322305406
98;109.94909602128035
99;86.95773282358968
100;115.5498730498575
101;115.81816072252863
102;103.94599404495781
103;113.12908119974986
104;98.18734569281453
105;110.43345548462659
106;133.97062671304562
107;110.57484742704031
108;105.42086629040897
109;106.78308054048813
110;113.2902851606612
111;105.07234540051006
112;86.95773282358968
113;104.98302174353643
114;80.56648310795231
115;105.21254692496156
116;101.83575606498658
117;77.13398187395003
118;113.27640401153667
119;112.13927798480145
120;102.97792474474808
121;86.95773282358968
122;95.73102008103785
123;135.98018460940017
124;103.84998506850863
125;112.55831009016151
126;110.20049345843961
127;106.18994909101686
128;106.23546109002928
129;105.75460580035218
130;81.82778071392275
131;86.95773282358968
132;135.46936767148796
133;135.99373742432385
134;134.76261572627135
135;77.0645013960304
136;115.81816072252866
137;99.19408840417093
138;115.44288565906731
139;134.23107390811566
140;109.37466171185312
141;102.46964005209824
142;114.72357488019739
143;106.20013442013843
144;106.22585028750377
145;110.81088808923667
146;109.61660755287826
147;103.50958638224043
148;135.99373742432388
149;103.90194372019161
150;109.89887032925608
151;104.78879025249793
152;104.00335342913941
153;98.73611458282127
154;99.2794284923996
155;74.30264870691741
156;109.96519798924695
157;134.8536809784521
158;114.94310721018789
159;99.40680782328033
160;106.69045050430395
161;90.17554918880641
162;106.04665866636888
163;105.70218589840776
164;106.981358094465
165;107.13330952538492
166;106.12260595598413
167;111.28611660404644
168;115.81816072252863
169;116.40798284462521
170;114.8091121487243
171;104.06986585240361
172;107.32727227373006
173;74.09946061879175
174;105.02815900101979
175;107.9188082292539
176;104.39129959653351
177;115.81816072252863
178;106.47943322009074
179;113.16502185421271
180;100.97647842428015
181;86.95773282358968
182;135.99373742432388
183;98.86835615177674
184;106.3229545525095
185;115.81816072252863
186;107.13330952538492
187;102.19120451780688
188;115.81816072252863
189;100.05937399373246
190;115.81816072252863
191;106.65241031400225
192;107.55186515606957
193;99.96056887296764
194;115.81816072252863
195;115.81816072252863
196;100.92397924450876
197;114.01552968184552
198;100.1079935511217
199;105.8806975501536
