;scenarios;mean oil;std oil
0;5;156,9851851;1,665295014
1;10;156,1721829;1,524177576
2;15;155,4524357;1,657883616
3;20;155,0102783;1,585475005
4;25;154,5443654;1,675357724
5;30;154,1767376;1,727517603
6;40;153,6842199;1,638552875
7;50;153,3725912;1,483827778
8;75;152,5248672;1,638704337
9;100;152,0379626;1,582288303
10;125;151,4412398;1,605257943
11;150;151,0295181;1,637664268
12;200;150,3405194;1,65382512
13;300;149,4989735;1,541418502
14;400;148,9829505;1,495232969
15;500;148,4837033;1,362103499
