;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;10.0;2307.6918545271797;1262.7495976695716;5;0.0;10;411.59278907632597;10.0;0.0;10.0;0.0;10.0;0.0;10.0
2;20.0;5657.195185253305;3291.370241936975;10;619.3798464689628;20;5401.322411262225;20.0;0.0;20.0;10426.030317725259;20.0;6328.7379845736905;20.0
3;30.0;11977.49054826524;5334.029516501789;20;24135.50777184094;30;18573.656777;28.395;21863.92765171816;30.0;27809.074160564753;30.0;24596.65151228205;30.0
4;40.0;24325.949912693886;29811.61082521541;30;37738.464591;40;24693.615086813643;30.0;44571.865912;38.6;40932.481476015295;40.0;40255.84691254735;40.0
5;50.0;37749.19944326667;44160.58592834333;40;33775.28074268537;45;40293.30855751483;40.0;38511.33417077799;40.0;43721.34077938777;50.0;51224.233987;49.77
6;60.0;39157.10812094891;54186.235755840535;50;38718.23600455714;50;40357.56086916221;50.0;46101.95624208456;50.0;52358.159217;59.78;50764.91554552982;50.0
7;67.36;40353.961407999996;64847.151328310974;60;47213.13050609043;60;45547.798445407614;60.0;54876.69465483767;60.0;53208.41254277856;60.0;54072.39055393406;60.0
8;70.0;41099.07618654104;72083.63651160555;70;51209.66195698232;70;60005.611077954425;70.0;70171.44188811464;70.0;57609.88351005501;70.0;62638.32675259453;70.0
9;80.0;42794.53077724029;77205.05450148856;80;65511.56906958272;80;57712.93888643895;80.0;89512.98419597211;80.0;60974.90600268457;80.0;72548.1099262302;80.0
10;90.0;44273.89034998568;88357.3261221936;90;68508.78884176246;90;68968.87048514644;90.0;84437.72631036253;90.0;67351.6591381533;90.0;72664.06591981283;90.0
11;100.0;46738.87938796436;105907.87275495671;100;68830.36870069156;100;66849.83395220802;100.0;90591.91109507608;100.0;73706.34355599097;100.0;81292.66408062668;100.0
