;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;10.0;1472.0578915272156;1618.9118167765073;10;2023.1310176338861;10.0;1157.984960592722;10.0;1196.1774019084867;10.0;2394.8739629485003;10.0;1058.9704872940738;5
2;20.0;3564.2016243983794;7117.608240739257;20;12248.657257381295;20.0;5088.117168245798;20.0;6273.596127637054;20.0;10447.97104540976;20.0;1303.5996251040674;10
3;30.0;9053.394137298314;31438.869224446727;30;24960.049964466234;30.0;5708.478174816384;20.091;23100.30045211705;30.0;27823.82142799921;30.0;6534.152635097791;20
4;40.0;22137.401849626152;40073.63267384689;35;38530.674675690745;40.0;21737.17937412433;30.0;39106.53780488747;40.0;41115.33755982041;40.0;23169.907344010808;30
5;50.0;35980.351189130735;45201.656992753815;40;46586.2239332866;50.0;37074.068673163376;40.0;44089.14357004863;50.0;46288.944733713586;50.0;39494.436922373025;40
6;60.0;38682.774589573215;54243.555686157575;50;41691.7159144225;53.806000000000004;42151.8343181631;50.0;34408.26903905873;52.413999999999994;50511.201553544095;60.0;49099.743225471524;50
7;70.0;40598.94032868378;63676.83782575822;60;50190.716814943495;60.0;48932.555944956905;60.0;55895.83685306896;60.0;50498.18175224943;61.843;57231.24601553944;60
8;72.984;41222.710062142665;73149.25910700425;70;54790.67826583322;70.0;55358.38767060669;70.0;69825.09489354452;70.0;54705.06861258059;70.0;65156.509520395426;70
9;80.0;42452.726051885766;82625.58971371302;80;59000.7434805892;80.0;63222.375123011385;80.0;82998.52595126447;80.0;59319.616083565175;80.0;73049.04277040873;80
10;90.0;44429.516780766935;92102.31195388037;90;63138.94705087706;90.0;70893.31386040777;90.0;96096.35589199251;90.0;63974.937577671975;90.0;80938.31271497814;90
11;100.0;46480.98137297389;101579.08760081246;100;67246.93255475734;100.0;78572.61598090005;100.0;109186.6417320264;100.0;68644.76294701149;100.0;88827.24073926506;100
