;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1;10.0;1470.4850926485046;1595.9649940902066;10.0;2023.635753346823;10.0;1353.5773785746774;10.0;1202.0276705752565;10.0;2396.698281454259;10.0;1059.4386982285444;5
2;20.0;3560.4477860080797;6912.058696285558;20.0;12240.40896386688;20.0;7034.2368727475705;20.0;6384.6503630252955;20.0;10447.930101106209;20.0;1303.4883931468175;10
3;30.0;9050.916047556964;29403.17;27.19;24970.652209232867;30.0;25185.924275891295;30.0;24197.83750781141;30.0;27822.390600392773;30.0;6535.675265154868;20
4;40.0;22138.94472102481;29510.35049960056;30.0;38623.07411115053;40.0;40160.7707903282;31.537;50133.74;38.67;41121.799755879554;40.0;23174.625837873882;30
5;50.0;35986.242429852864;44144.84470530391;40.0;47551.166186089315;50.0;38915.338610975086;40.0;39700.93659934731;40.0;46318.07814758238;50.0;39493.96759049447;40
6;60.0;38698.41512024256;54139.7618626918;50.0;51415.53093467589;60.0;42344.300111161465;50.0;44627.72049478375;50.0;50841.41598078678;60.0;49097.1342836588;50
7;70.0;40787.10203632107;63670.111176454535;60.0;53963.4182840574;63.44;48953.06021707192;60.0;56921.33685189855;60.0;53840.000413027694;62.606;57224.12985094632;60
8;72.984;43122.71;73143.7372409939;70.0;55160.849082197165;70.0;55355.59099067863;70.0;69932.67719612598;70.0;55044.60381977963;70.0;65155.46745344906;70
9;80.0;42642.60256875712;82620.74056572004;80.0;59049.90378400298;80.0;63216.11211234206;80.0;83006.26622719856;80.0;59352.48471807298;80.0;73059.13573008835;80
10;90.0;44448.80547148383;92094.70464704504;90.0;63142.24003143789;90.0;70899.71602048616;90.0;96109.91533591416;90.0;63972.060597459924;90.0;80920.067816948;90
11;100.0;46483.25792916241;101574.90516360033;100.0;67222.19111324688;100.0;78575.63685071324;100.0;109175.99158490787;100.0;68646.73121412231;100.0;88807.93135996352;100
