;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
1;5;1149.9655967693186;1616.2779242678241;10.0;2023.2493097433428;10.0;1335.0774779016112;5;1197.0811733196326;10.0;2394.875873498005;10.0;2105.4764096153267;10.0
2;10;1230.6345615170435;7091.23589056923;20.0;12249.88037098405;20.0;782.6804257654246;10;6282.685352864176;20.0;10447.982422158228;20.0;9077.772156369383;20.0
3;20;2781.9220373979424;31175.148104629483;30.0;24972.3006558928;30.0;4595.535352330497;20;23191.15371882453;30.0;27823.94888132629;30.0;26739.799296276564;30.0
4;30;7117.8474166787;46063.12070052252;40.0;38653.12078862565;40.0;21625.88620441097;30;40015.0940407863;40.0;41116.612987757864;40.0;42233.063169771645;40.0
5;40;19251.151928428964;48688.24658038688;41.55;47810.65265484591;50.0;37062.94957703387;40;53174.59453148748;47.12;46301.73100897248;50.0;50556.194113560996;50.0
6;50;34037.1936992576;54592.216650198294;50.0;53935.91564211472;52.85;42150.72724982238;50;45965.787858694246;50.0;50639.024464855494;60.0;54059.00354649994;54.11
7;60;38026.602394974085;63711.699899125946;60.0;51415.138277935956;60.0;48932.45468366356;60;57051.587961852754;60.0;51776.45849616793;62.596000000000004;57727.16606478943;60.0
8;70;40279.32791676362;73152.74360725754;70.0;54913.13005358783;70.0;55358.37713749453;70;69940.68346632925;70.0;54832.90099019697;70.0;65206.106886107475;70.0
9;80;42358.38733063014;82625.94475244221;80.0;59012.977921324884;80.0;63222.384680127325;80;83010.07224093386;80.0;59332.400417809265;80.0;73053.99609857588;80.0
10;90;44420.082040882764;92102.34153630208;90.0;63140.173361871726;90.0;70893.31709073245;90;96097.51317593547;90.0;63976.21305845419;90.0;80938.82845077153;90.0
11;100;46480.03796907294;101579.08691767318;100.0;67247.02831723151;100.0;78572.62204267572;100;109186.7570575768;100.0;68644.89659894294;100.0;88827.28149927987;100.0
