;W1_gas;W2_gas;W3_gas;W4_gas;W5_gas;W6_gas;W7_gas
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;1561.8903461959894;0.0;426.3754087223163;44.61512409864349;0.0;1640.6954373556205;1331.5981946279219
2;3732.435861517799;4136.578918704619;13774.674377993779;3899.158336585973;0.0;7248.813966810218;9535.723275393004
3;5851.638351780719;29562.642984110724;20301.713446739435;19433.678728593546;20591.936983795167;23030.46915019271;26652.88760479429
4;17686.638611930182;43053.443579494524;30107.836827262487;33242.35166430797;37823.16105035778;37416.96931288464;40774.13427378556
5;33434.97964494003;52656.469098485206;36388.3286207207;34835.55591675929;51177.758611914855;41629.176785950935;50555.25020857809
6;39039.50527784975;59453.976428213165;46080.986065590674;44348.206274647615;70016.22710785166;46170.23811089666;48827.283120113134
7;38463.94559186068;67782.29850775923;51500.43173865733;57077.99617827861;62440.408934044084;54749.919559765;63325.25590394532
8;42516.48309252092;82132.74184831197;62592.953140194375;65562.48927104093;74924.68257566207;60465.588876720976;70056.71855680017
9;44948.173388315314;86573.1289369039;71240.1889605794;76482.30027737249;84044.904053165;63085.517381842656;63772.83412725813
10;47138.09161437098;93132.73629424887;86884.540847281;90741.8915604108;93293.008768705;66312.53893876863;81423.89776318335
