;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0.0;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
1;10.0;1472.0581553988075;1616.7560901237923;10.0;553.2738197835063;5;1335.078015679498;5;1196.822651879712;10.0;2394.8733046302273;10.0;2105.4423891419856;10.0
2;20.0;3564.203658526312;7096.06612263693;20.0;853.5968405159683;10;782.6803260962233;10;6279.986304627777;20.0;10447.942635441237;20.0;9077.41828724854;20.0
3;30.0;9053.383022932128;31223.4673455654;30.0;9838.008801704507;20;4595.535717485554;20;23164.187134061147;30.0;27823.55317844937;30.0;26736.282885600638;30.0
4;40.0;22137.26913937662;46546.32130033535;40.0;22090.77798722978;30;21625.883848038502;30;39745.35398401923;40.0;41112.690389705655;40.0;42197.9434334091;40.0
5;50.0;35979.066569010065;53520.26643866578;47.067;36081.135018391;40;37062.94547062399;40;50477.35250528395;47.84;46262.48480482394;50.0;50205.034091858135;50.0
6;60.0;38669.96707519963;55075.413529607285;50.0;46025.15978765868;50;42150.72376216174;50;45696.04829575111;50.0;50246.590633974025;60.0;50547.293894433635;50.34
7;70.0;40470.882180354485;63760.021337788865;60.0;50624.06732624165;60;48932.43997556455;60;57024.61411387575;60.0;47852.049707490085;62.6;57376.0103859417;60.0
8;72.984;39942.140660634315;73157.57920517764;70.0;54834.007903341015;70;55358.37482269661;70;69937.96904241326;70.0;54440.45859079677;70.0;65170.98671268875;70.0
9;80.0;42324.66809798103;82626.42491972151;80.0;59005.084814674876;80;63222.38133820232;80;83009.82579899827;80.0;59293.15056151684;80.0;73050.47564477896;80.0
10;90.0;44416.70998606461;92102.3887313214;90.0;63139.37303482176;90;70893.3244233952;90;96097.49306256232;90.0;63972.28645852071;90.0;80938.45870905362;90.0
11;100.0;46479.69968630229;101579.09486111834;100.0;67246.98824644575;100;78572.61249130216;100;109186.7416516603;100.0;68644.4987838896;100.0;88827.25081440446;100.0
