;choke;W1_gas;W2_gas;W3_gas;W4_gas;W5_gas;W6_gas;W7_gas
0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;10;626.3851587954117;0.0;0.0;376.9385514066056;1835.1123506167173;2567.070355032857;2908.3594767223053
2;20;1014.4001001924373;2875.614422484427;1912.6272611877087;3407.195302553088;9402.418345549337;10133.194074020992;11045.730028794524
3;30;7638.46876850935;30402.934611937697;20081.38653445666;21473.260192025107;23266.354243588205;27487.49799734829;27638.347612423764
4;40;20332.431953859465;49002.24735069408;37738.464590830336;42015.794912171965;48040.205021366564;41280.66913346604;45174.54058416296
5;50;37229.362969032016;57934.3068507744;48737.541336190945;47483.61110791909;49920.97590612582;50228.383011165075;51366.65256211374
6;60;38565.30820536322;66413.33496501384;57523.13120412773;58871.349590210804;63073.811360265485;52406.068293709744;59530.09179530168
7;70;40995.54353439296;74262.05313855743;55683.795310572015;69023.8496535013;79411.8227079498;59023.2917544396;66442.36721117055
8;80;43797.11154784306;82270.97288264705;62116.205648049676;68207.55789047822;93748.28361600087;62125.29715515367;80578.37737460015
9;90;45434.97941236166;91853.8179207427;70285.3841618238;69266.51940558133;119575.65869695375;68053.75587959692;76679.10875994024
10;100;47154.64021051644;101547.59912184547;102582.77714938454;88134.97747264075;128914.22523224955;66830.71047248125;79232.71124032522
