W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_0;W2_gas_0;W3_gas_0;W4_gas_0;W5_gas_0;W6_gas_0;W7_gas_0;W1_gas_1;W2_gas_1;W3_gas_1;W4_gas_1;W5_gas_1;W6_gas_1;W7_gas_1
0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1334.134765625;1169.279296875;393.1123046875;2484.1191;149.5955810546875;806.371337890625;1048.6395263671877
10.0;5;10;10.0;10.0;10.0;10.0;7232.515916040931;1262.4014324870607;0.0;1092.270329756992;0.0;1662.6266081959695;2410.6486134139827;1239.59765625;1088.61328125;886.9609375;721.3035;632.0201416015625;1500.085205078125;1330.7802734375
20.0;10;20;20.0;20.0;20.0;20.0;6971.161611547984;431.28213346885116;4008.417213756955;5222.016682713129;1186.0692780587026;9429.552545425257;2765.371245941651;2954.291015625;1007.9453125;10836.2802734375;5019.188;4403.9619140625;8517.3212890625;7115.3251953125
30.0;20;30;28.395;30.0;30.0;30.0;12299.112087915735;6439.5317260159545;22409.063048087264;18573.656777;18332.90799302551;26600.509971107866;22356.300259248488;7599.615234375;4415.24609375;23452.203125;21108.905394999998;21321.830078125;26346.986328125;25018.32421875
40.0;30;40;30.0;38.6;40.0;40.0;21575.18192288344;30450.14762214423;37738.464591;22323.91135161228;44571.865912;45132.128940730334;40959.274732907805;20599.296875;29520.9296875;37635.61328125;23518.146;37915.06171875;40540.4921875;41308.2734375
50.0;40;45;40.0;40.0;50.0;49.77;39088.57196718484;44971.28617967865;37372.98831211255;37735.434564679235;38223.0731577104;49067.009184683026;51224.233987;35680.08203125;45771.4375;39301.74609375;38778.168;38552.9140625;45819.8046875;49970.6383984375
60.0;50;50;50.0;50.0;59.78;50.0;38933.39819051966;53467.67183444017;40225.4176343072;39530.23292649828;40247.67647892908;52358.159217;44439.29594376648;38469.8671875;55248.2109375;47130.05859375;42716.03;45164.796875;50410.13187500001;50167.0
67.36;60;60;60.0;60.0;60.0;60.0;40353.961408;61628.71659241735;39247.95167969089;54902.87258341527;59740.88437405628;47783.57328585013;55759.15907482297;39985.8546875;64724.98046875;51135.05078125;49685.97;58283.34375;50512.6484375;58134.74609375
70.0;70;70;70.0;70.0;70.0;70.0;40032.65953184283;74089.99161820284;44268.486798941834;58210.405887184825;80517.03622425089;50467.81646441162;64426.260412890566;40529.6328125;74201.75;55301.78515625;56072.37;71372.7890625;55172.5;66037.09375
80.0;80;80;80.0;80.0;80.0;80.0;42357.250287507595;83603.88532389389;41921.53957580756;69792.77578814156;88746.16970248896;54761.703282770875;75444.417281509;42589.39453125;83678.515625;59468.52734375;64096.152;84462.2421875;59832.34375;73925.9921875
90.0;90;90;90.0;90.0;90.0;90.0;44250.927178528036;93670.06923897078;47676.94524210942;77550.33436325393;106509.0927710681;62521.55269071445;75457.84742634426;44649.16015625;93155.28125;63598.74609375;71745.64;97551.671875;64492.1953125;81814.8984375
100.0;100;100;100.0;100.0;100.0;100.0;45061.690173773204;107033.27908940834;61066.57969542952;72572.2535208319;117610.84064316432;65243.7709104768;95540.62468826493;46708.921875;102632.0625;67703.375;79425.87;110641.1171875;69163.6328125;89703.7890625
