;W1_choke;W1_gas_0;W1_gas_1;W1_gas_2;W1_gas_3;W1_gas_4;W1_gas_5;W1_gas_6;W1_gas_7;W1_gas_8;W1_gas_9;W2_gas_0;W2_choke;W2_gas_1;W2_gas_2;W2_gas_3;W2_gas_4;W2_gas_5;W2_gas_6;W2_gas_7;W2_gas_8;W2_gas_9;W3_gas_0;W3_choke;W3_gas_1;W3_gas_2;W3_gas_3;W3_gas_4;W3_gas_5;W3_gas_6;W3_gas_7;W3_gas_8;W3_gas_9;W4_gas_0;W4_choke;W4_gas_1;W4_gas_2;W4_gas_3;W4_gas_4;W4_gas_5;W4_gas_6;W4_gas_7;W4_gas_8;W4_gas_9;W5_gas_0;W5_choke;W5_gas_1;W5_gas_2;W5_gas_3;W5_gas_4;W5_gas_5;W5_gas_6;W5_gas_7;W5_gas_8;W5_gas_9;W6_gas_0;W6_choke;W6_gas_1;W6_gas_2;W6_gas_3;W6_gas_4;W6_gas_5;W6_gas_6;W6_gas_7;W6_gas_8;W6_gas_9;W7_gas_0;W7_choke;W7_gas_1;W7_gas_2;W7_gas_3;W7_gas_4;W7_gas_5;W7_gas_6;W7_gas_7;W7_gas_8;W7_gas_9
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;10.0;1896.3104748413239;0.0;0.0;0.0;0.0;0.0;2899.310300994506;2333.1112708940345;160.87232379546063;2880.4427870488207;0.0;0.0;0.0;0.0;0.0;330.80081414636487;2120.6300965114947;0.0;0.0;371.7045883960053;1769.896184006564;0.0;10.0;0.0;7396.644112458675;6071.50257060251;4679.286098238077;7532.5216044953395;0.0;0.0;0.0;1376.8455829052084;57.490477232291276;10.0;1134.452869516714;1045.8770308381445;116.75959390176294;0.0;1004.5595365372212;402.1228860365744;902.7448291465746;1348.3523571810965;720.8653834951712;5693.7664957267225;10.0;3590.292473201689;2875.336958962352;3487.7865204680384;1763.8702150337315;4276.714312033452;6553.3413166746495;1226.7215375255262;0.0;5609.583607927513;0.0;10.0;719.6402509089769;1336.581035932032;2019.0003810359344;590.6500149220574;1610.9259832199384;2752.450425075415;1140.2030253272662;1313.0810489924284;2024.9289207676086;3768.4883529612257;10.0;0.0;0.0;3853.130252381677;1999.323373637182;4608.479049638609;2060.309733024125;0.0;1216.0874428511504;1920.9673391443048
2;20.0;3206.1454453808396;0.0;2711.238050014923;4635.591187808977;3816.858869726901;1855.0190218414828;3606.395963363085;4465.540626991151;2131.9768616783813;6114.582615931386;656.9166775736086;10.0;380.5535328633972;2961.867764412741;929.7237859847687;1680.8359642534397;0.0;0.0;3286.873827690403;1288.549037300731;2361.4581090030524;11821.25924626731;20.0;8585.506973239102;17312.096266170134;8626.951943749033;17257.220590936104;21203.52517655623;9630.00600576859;1038.223836323924;2347.8148556784217;13242.044921327759;3801.35567044438;20.0;4302.1835046140195;6023.970886476918;4384.799216135341;4092.5033415590287;3726.232806308481;4201.647469045646;4629.728301844566;6059.2012993978515;3621.760319927816;8630.097031310104;20.0;6860.832650537095;4473.116714090175;15001.504251080689;5708.199860301906;3664.2853758428273;6294.616013519992;6124.168002831942;4834.881013107456;5797.105184402063;6671.844380529251;20.0;9112.49012171174;9823.810792040376;8509.524115646334;7517.5331430017395;7898.899079693749;11219.164180985972;8685.40369826417;9681.706430144688;9923.4716764817;7508.302192390748;20.0;6137.7735883033265;6132.178194573898;10969.92727536662;7412.00555111738;10938.285519490317;8129.679615627869;5514.540436445661;6958.435945171766;6044.511710063998
3;30.0;6776.492803837076;8974.643960995923;8412.374230932855;5610.18621263356;7075.665614110222;6335.030336538857;10811.109726964141;4475.895235016653;7702.361416436329;8179.928505969788;5499.829326263054;20.0;5019.911195753928;5263.039525897761;4016.4773331533197;5434.701524644757;5214.018060094816;0.0;7492.7181776897205;1388.6048555757227;5273.073995395768;22727.262567437232;30.0;23680.16081593497;28763.56521587361;22015.316387932282;25497.157500451463;23788.409720980733;22402.145267061558;23534.929308707313;24654.054528454213;26630.510430087583;18573.656777;28.395;18573.656777;18573.656777;18573.656777;18573.656777;18573.656777;18573.656777;18573.656777;18573.656777;18573.656777;26481.91422269521;30.0;24641.926823330985;23207.602530236567;27902.044313158414;18390.12598467758;23177.94139000234;27018.43980628152;22719.06014921481;24263.19460114701;24251.875839280056;24987.66234375453;30.0;26269.69874918166;27240.035531824826;26828.298223532118;25297.77116559585;25468.12325631489;29182.493794918984;24182.690913374776;28761.034010712632;25945.10519797585;23960.229496111035;30.0;21339.310132471986;24248.00083684487;26934.13082213308;24398.04903895383;27417.50757057357;25753.803907143287;25415.832102554297;26357.3824971708;22738.689651828437
4;40.0;20553.350658285144;18871.87844704856;19790.038869206517;16481.818969921198;19254.178935763783;18344.211219375888;29406.930387622575;18947.396272321515;19446.72458198405;20126.474329854223;30991.207437712168;30.0;28472.405091850644;29692.24006430605;29894.127783725482;29494.553382607013;29143.92526562882;28094.20114496872;30681.6223134122;28842.165573489176;30275.143713251924;37738.464591;40.0;37738.464591;37738.464591;37738.464591;37738.464591;37738.464591;37738.464591;37738.464591;37738.464591;37738.464591;20720.386884704043;30.0;23496.34784044934;20553.33135748892;20707.19270627366;22714.222355776285;21727.56809612377;22158.571116363546;24301.64253651504;26264.189084515718;20351.024203246932;44571.865912;38.6;44571.865912;44571.865912;44571.865912;44571.865912;44571.865912;44571.865912;44571.865912;44571.865912;44571.865912;37909.85546524888;40.0;41055.40444535169;41763.38497934904;39505.909202628834;41322.11753491189;41049.50624162025;41611.213220785525;39724.989141786056;41857.60827784984;40228.73307106022;39829.70965624331;40.0;43654.904383563415;41683.796531184256;41839.39218471777;41389.50072587397;40178.39983385484;39892.09019243868;40175.9052268916;43983.50725515051;40530.44417022614
5;50.0;34511.23949117353;34870.85743913957;35724.06318335299;32010.99859994205;33686.32062292108;35079.34739456016;39739.50159574346;35419.7731562877;31219.296247556304;34135.37814722328;47166.60660886493;40.0;44004.793922399054;45175.253859639524;46938.907719804425;45412.43773951882;43019.89833652947;44638.99836316749;47005.61927669113;45107.21309331525;47420.116721406885;37592.706957368464;40.0;37623.157500616864;43193.80820097639;37759.16858903512;38084.75818827732;40256.11631639338;34634.92930703978;35279.85291170838;29515.542988086952;33259.13654360332;34536.33036298763;40.0;37341.48736501116;31812.003480648018;21757.696864737594;46714.4630115704;31391.02036329795;33092.92965557308;32324.09945680496;38646.130185379145;25105.579822014337;41092.53360575401;40.0;45923.57703911911;39878.83837393772;42151.67568383399;46001.28905535238;51038.22248326338;46661.09072796446;44829.495106504444;46269.85668556961;41220.19087023697;44617.718037178274;50.0;45750.201228178375;46818.72756254483;46093.22102511082;47795.14135608608;44292.657220324014;47757.45655393517;48084.26175367661;46703.446193030526;46404.7039441272;51224.233987;49.77;51224.233987;51224.233987;51224.233987;51224.233987;51224.233987;51224.233987;51224.233987;51224.233987;51224.233987
6;60.0;38704.684190849504;37082.56098307467;38368.08611364335;38501.50825783577;38337.68384195852;38701.99122828461;39709.8827110736;36732.11602019669;39621.756203247176;39763.551336127864;56764.656667186944;50.0;52818.14060273774;55863.60773886555;56205.87829403064;52859.585520761604;50640.493010027014;53239.93123807039;54987.894898766026;56705.287057767186;55339.21462701829;55220.89211535273;50.0;55919.685819243634;45930.107325750585;42876.081587872584;42178.63693603408;44857.077339058094;48648.86611533605;57943.32215320041;42843.610780788775;44222.19609062897;39862.0669657834;50.0;47192.481631864095;44132.12810466519;37975.37774033276;42014.7371701641;47045.5401601868;32828.336041622664;41649.53366917413;37906.087328973575;34768.274196569895;40309.367658267096;50.0;49473.002363985215;49708.92197157617;47640.73793153834;57095.505374141365;52844.041198505234;51381.193794928564;51676.14035442673;41835.348620850506;53900.86957762104;52358.159217;59.78;52358.159217;52358.159217;52358.159217;52358.159217;52358.159217;52358.159217;52358.159217;52358.159217;52358.159217;58166.01393022992;50.0;50245.12629964193;48416.93027592455;49029.35720637451;57830.059457644384;51634.857648525234;48446.378222264815;50858.11062643709;55647.03421267048;53864.540237887224
7;67.36;40353.961408;40353.961407999996;40353.961408;40353.961407999996;40353.961408;40353.961407999996;40353.961408;40353.961407999996;40353.961408;40353.961407999996;69610.95561931231;60.0;63274.423347736825;65241.86197563831;64587.08210523205;64949.732678571425;62723.84332655204;64985.82788780924;65909.58874493871;64607.643138093474;64917.45210514338;55706.886646412015;60.0;63767.74672830544;55724.390784645686;46656.63089035658;51364.25849833615;47568.101552511456;55310.849764469036;61281.277910131525;41688.415554844265;49056.315355420506;49092.52119663703;60.0;48820.54895742847;50299.72354607353;44734.281137018435;48181.72164102648;49176.05671089617;48338.096701493865;55439.684170096574;41324.32354535733;41134.945292802186;54822.99875294956;60.0;64444.646622306536;62307.835673472226;56611.47640755231;60960.19949444628;64630.718086683046;59812.28003742155;57163.08771574861;60197.114350291326;62725.70317583793;49890.2389576901;60.0;47571.69376136741;51988.40604091896;50129.95727942197;54901.63359558432;57124.62181071638;52652.99768163457;51124.36540749612;54693.45908111428;52965.51227193254;67492.78914338144;60.0;57699.61095456944;60657.43475783112;55731.07680578577;61212.23910545918;60884.852758522014;50872.94828203536;57718.33919997963;62678.92427028189;71789.60935237228
8;70.0;39710.38989212277;42093.257523804336;40955.56704903251;41574.886545878406;41211.23296858397;40985.851494921364;39690.98624419232;39857.62250538665;41142.399045383856;40425.39472312092;78220.57264503348;70.0;70583.95666684458;75414.97482526177;74280.63262720531;75389.61329750047;73365.81258037793;77487.0828339059;70529.32549614989;71506.72805406174;73308.32158790971;51706.573437832965;70.0;66419.61892826794;66795.37308548909;60674.104246269424;46733.1081345706;45026.85627804153;63096.52401928683;60537.761998204325;54290.49383693647;54765.29386016015;48889.21934843683;70.0;58798.954098748254;52515.263748921054;48643.01690038871;57774.36280083048;59330.50143116832;52360.494695637215;61720.84461078994;42181.281605563054;50989.786348588445;64871.64165783173;70.0;76907.21143762761;62633.85975821804;64828.1872063974;65745.41364045978;81450.41268226887;75889.74118969281;68680.61170110834;77430.54835980275;77839.23745888352;51916.789999714645;70.0;53476.87459707229;50884.37261752618;55454.94074251048;60435.19317453112;56591.21709134874;56753.36725934327;56778.16393965749;56406.81873801231;55325.53065730042;65843.88180400664;70.0;64852.10868194549;64050.861831837596;64285.20319417287;69374.63958849895;63176.56591661793;51041.128651582054;61850.831558513615;71897.42806065691;75203.91321508381
9;80.0;42242.92567566328;44128.12715720395;42223.37787137087;43495.68414944438;42278.233475524525;42343.51882597925;41682.06106792351;41594.60397395864;41850.44829488035;42586.48227204439;83848.89983168073;80.0;88852.10322017947;85253.29261870129;81958.09859875063;83392.16078693683;77479.30211480246;88137.59599434158;79198.12333880438;82582.47068009527;84741.8081235667;63659.103958787775;80.0;55873.86133315908;60771.844490560106;61906.4571216668;60991.238198979474;57983.980919805574;61730.5142911842;59529.27207287434;57251.829913443136;58321.464560798624;68025.50278080309;80.0;51163.50987916935;60776.151515792015;51016.43292019983;61870.31858756808;60053.045853016425;59260.54386109394;62337.68522225706;55267.251502048566;56418.35533863041;89014.18765630807;80.0;86544.21436461763;77177.47694245067;87677.18619135742;67662.21716277926;85335.25964309867;104740.19822267977;89228.42421010822;77922.30818314012;95551.51118764342;56487.42490604441;80.0;61211.75900328433;56618.533355816086;61865.98009923883;63989.387067432726;56307.1686546383;55783.65732099948;62185.30423085782;58626.53928746263;58795.52892925195;60324.68654249629;80.0;69774.79485938465;72649.91561160647;79292.05517897049;84899.93471460142;65519.68049132545;50333.622701121036;64443.136587458976;75646.21529927428;83549.90209133507
