;W1_choke;W1_gas_0;W2_gas_0;W2_choke;W3_gas_0;W3_choke;W4_gas_0;W4_choke;W5_gas_0;W5_choke;W6_gas_0;W6_choke;W7_gas_0;W7_choke
0;0;1334.134765625;1169.279296875;0;393.1123046875;0;2484.1191;0;149.5955810546875;0;806.371337890625;0;1048.6395263671877;0
1;10;1239.59765625;1007.9453125;10;886.9609375;10;721.3035;10;632.0201416015625;10;1500.085205078125;10;1330.7802734375;10
2;20;2954.291015625;4415.24609375;20;10836.2802734375;20;5019.188;20;4403.9619140625;20;8517.3212890625;20;7115.3251953125;20
3;30;7599.615234375;29520.9296875;30;23452.203125;30;23518.146;30;21321.830078125;30;26346.986328125;30;25018.32421875;30
4;40;20599.296875;45771.4375;40;37635.61328125;40;38778.168;40;38552.9140625;40;40540.4921875;40;41308.2734375;40
5;50;35680.08203125;55248.2109375;50;47130.05859375;50;42716.03;50;45164.796875;50;45819.8046875;50;50167.0;50
6;60;38469.8671875;64724.98046875;60;51135.05078125;60;49685.97;60;58283.34375;60;50512.6484375;60;58134.74609375;60
7;70;40529.6328125;74201.75;70;55301.78515625;70;56072.37;70;71372.7890625;70;55172.5;70;66037.09375;70
8;80;42589.39453125;83678.515625;80;59468.52734375;80;64096.152;80;84462.2421875;80;59832.34375;80;73925.9921875;80
9;90;44649.16015625;93155.28125;90;63598.74609375;90;71745.64;90;97551.671875;90;64492.1953125;90;81814.8984375;90
10;100;46708.921875;102632.0625;100;67703.375;100;79425.87;100;110641.1171875;100;69163.6328125;100;89703.7890625;100
