;W1_choke;W1_oil_0;W2_oil_0;W2_choke;W3_oil_0;W3_choke;W4_oil_0;W4_choke;W5_oil_0;W5_choke;W6_oil_0;W6_choke;W7_oil_0;W7_choke
0;0.0;0.017983198165893555;0.0038499245;0.0;0.060967683792114265;0;7.6253981590271;0;0.0010559066;0.0;0.021270960569381717;0.0;0.03174680471420288;0.0
1;10.0;0.4161294400691986;-0.0010459266;10.0;0.04126769304275514;5;6.742331027984619;5;1.9780179;10.0;0.010669611394405363;10.0;0.11788564920425415;10.0
2;20.0;1.5635852813720703;0.6010354;20.0;0.07611972093582152;10;2.4850778579711914;10;6.921807;20.0;4.388930797576903;20.0;1.56182599067688;20.0
3;30.0;7.238523006439209;7.1296215;30.0;5.453955173492432;20;7.141555309295652;20;12.228007;30.0;11.383768081665039;30.0;9.519784927368164;30.0
4;40.0;13.107528686523438;10.559607085;37.19;11.544452667236328;30;11.789257049560547;30;17.410791;40.0;15.87034797668457;40.0;15.927203178405762;40.0
5;50.0;18.27716445922852;10.854107;40.0;18.38467788696289;40;16.58163070678711;40;22.701906;50.0;19.8012752532959;50.0;18.41668701171875;50.0
6;60.0;22.83519172668457;13.321435;50.0;19.796052932739254;50;14.323019027709961;50;24.70892403;53.663000000000004;23.732200622558594;60.0;20.285271362304687;55.332
7;70.0;27.39321708679199;16.292616;60.0;25.2148494720459;60;16.389350891113278;60;27.954832;60.0;24.752667289733893;62.596;21.92115974426269;60.0
8;72.97399999999998;28.748774963378896;19.222542;70.0;31.598575592041016;70;18.5119743347168;70;33.124508;70.0;27.66312599182129;70.0;25.42563819885254;70.0
9;80.0;31.95124244689941;22.11844;80.0;37.9823112487793;80;20.634601593017575;80;38.503628000000006;80.0;31.59404945373535;80.0;28.936481475830078;80.0
10;90.0;36.5092658996582;25.22565;90.0;44.45198822021485;90;22.75722694396973;90;43.76693;90.0;35.52497863769531;90.0;32.448192596435554;90.0
11;100.0;41.06728744506836;28.63518;100.0;50.94866561889648;100;24.879852294921875;100;48.832405;100.0;39.455902099609375;100.0;35.9610481262207;100.0
