;W1_gas_mean;W1_gas_var;W1_gas_X;W2_gas_mean;W2_gas_var;W2_gas_X;W3_gas_mean;W3_gas_var;W3_gas_X;W4_gas_mean;W4_gas_var;W4_gas_X;W5_gas_mean;W5_gas_var;W5_gas_X;W6_gas_mean;W6_gas_var;W6_gas_X;W7_gas_mean;W7_gas_var;W7_gas_X
0;1334.134765625;5466.8975;0;1169.279296875;4323.886;0;393.1123046875;7351.4814;0;2484.1191;4352.7407;0;149.5955810546875;9386.386;0;806.371337890625;2572.2761;0;1048.6395263671877;3335.7866;0
1;1322.853515625;5426.9272;1;1153.1484375;4837.323;1;437.4375;8734.065999999999;1;2163.4578;2654.292;1;158.45361328125;8341.364;1;875.742919921875;2532.8574;1;1074.1407470703123;3428.717;1
2;1311.576171875;5538.8926;2;1137.01171875;4256.7188;2;481.765625;16731.24;2;2043.5319;2360.312;2;157.4041748046875;10518.715;2;945.1142578125;2463.1592;2;1099.6419677734377;3425.7998;2
3;1300.298828125;5038.624;3;1120.87890625;3343.44;3;526.0966796875;11991.357;3;1857.174;2189.3564;3;186.33251953125;3882.3562;3;1014.485595703125;2688.0767;3;1125.143310546875;3725.6377;3
4;1289.017578125;5848.201;4;1104.74609375;3825.2974;4;570.423828125;9552.206;4;1648.1809;1982.2533;4;237.374755859375;7866.725;4;1083.85693359375;2257.615;4;1150.6444091796875;3521.1497;4
5;1277.73828125;6465.092;5;1088.61328125;4037.732;5;614.7548828125;8746.237;5;1483.4208;1811.6952;5;288.41748046875;7305.2007;5;1153.228271484375;2347.6018;5;1176.633544921875;3870.6035;5
6;1266.45703125;4776.0415;6;1072.48046875;3820.0874;6;659.0810546875;9573.898;6;1189.7814;1084.2787;6;352.0479736328125;8136.2275;6;1222.599609375;2604.7253;6;1202.82373046875;3750.4624;6
7;1255.177734375;5462.097;7;1056.345703125;4507.1265;7;703.4052734375;9337.598;7;1005.4552;1271.6278;7;423.507080078125;9392.756;7;1291.970947265625;2690.2983;7;1229.0137939453125;3798.315;7
8;1243.8984375;5734.111;8;1040.2109375;4928.3594;8;747.7392578125;9977.58;8;862.15564;1267.7413;8;494.9656982421875;11824.267;8;1361.3427734375;2851.2864;8;1255.203857421875;4354.4917;8
9;1232.619140625;6260.76;9;1024.078125;3997.1902;9;792.0478515625;13106.963;9;692.34344;1353.1014;9;566.45849609375;10605.577;9;1430.714111328125;2783.1648;9;1288.350830078125;4074.0452;9
10;1239.59765625;4928.018;10;1007.9453125;4653.0996;10;886.9609375;8891.195;10;721.3035;1091.5918;10;632.0201416015625;7487.398;10;1500.085205078125;2885.4040000000005;10;1330.7802734375;4027.6443;10
11;1267.869140625;5460.36;11;991.80859375;3611.3381;11;1076.3466796875;8990.794;11;622.7723;987.3241;11;692.8623046875;8881.91;11;1779.1912841796875;2997.3145;11;1380.476806640625;3869.3313;11
12;1328.556640625;4883.846;12;975.67578125;4293.1733;12;1647.7734375;8137.4917;12;580.5075;1352.3904;12;746.6104736328125;10416.28;12;2123.62255859375;3176.862;12;1445.640380859375;4467.9575;12
13;1453.884765625;7307.4146;13;959.54296875;4117.734;13;2595.58203125;11765.379;13;507.71243;1159.9099;13;795.3094482421875;8268.806;13;2529.91162109375;3419.24;13;1510.803955078125;4376.2656;13
14;1596.681640625;4695.8887;14;972.65234375;3033.2722;14;3752.609375;10808.73;14;785.08875;1206.7432;14;844.0087890625;10237.184000000001;14;2971.404296875;3278.8086;14;1707.202392578125;4476.7915;14
15;1739.4765625;5101.1396;15;1225.734375;3829.8972;15;4933.2255859375;6991.4688;15;1199.0942;1086.6804;15;892.707763671875;12412.587;15;3446.81640625;3172.4359999999997;15;2605.81982421875;4773.625;15
16;1882.267578125;5566.9014;16;1514.3828125;4896.1885;16;6113.833984375;9398.613;16;1706.166;1929.166;16;941.407470703125;10769.061000000003;16;4011.243408203125;3477.0388;16;3504.43505859375;4608.32;16
17;2025.060546875;5651.017;17;1803.03125;4358.022;17;7294.4482421875;10137.053;17;2332.824;1577.8009;17;990.1064453125;9067.822;17;4640.64013671875;3614.6372;17;4403.0537109375;5057.825;17
18;2263.119140625;5686.357;18;2168.099609375;4523.7637;18;8475.0576171875;9236.623;18;3005.0754;1826.0009;18;1246.672607421875;9837.702;18;5517.8779296875;4198.7515;18;5301.67041015625;4620.748;18
19;2606.74609375;5527.348000000001;19;3139.337890625;3928.9631;19;9655.6708984375;6892.155;19;3763.8667;1852.8567;19;2825.3173828125;10533.72;19;6980.55126953125;3846.4346;19;6200.287109375;4677.3906;19
20;2954.291015625;5423.343000000002;20;4415.24609375;4442.9204;20;10836.2802734375;13355.281;20;5019.188;2491.3127;20;4403.9619140625;7420.964;20;8517.3212890625;3752.0303;20;7115.3251953125;4357.647;20
21;3301.84765625;5923.147;21;6017.67578125;4465.2383;21;12016.8916015625;8846.245;21;6996.9463;2701.401;21;6033.89892578125;7489.2383;21;10144.646484375;3682.4917;21;8065.623046875;4322.022;21
22;3649.39453125;5736.204000000002;22;7983.158203125;3991.381;22;13197.501953125;7207.3306;22;9271.449;3127.6904;22;7696.20654296875;7605.6562;22;11771.96875;3868.9583;22;9244.80078125;4444.88;22
23;4007.59375;5444.2847;23;11267.8251953125;3493.9836;23;14378.115234375;11063.014;23;11367.849;3118.0613;23;9358.8134765625;11143.165;23;13463.083984375;3754.4988;23;10694.056640625;4115.9;23
24;4423.71875;6093.8203;24;15070.880859375;3317.7874;24;15558.720703125;8933.0205;24;13006.484;3224.333;24;11045.25390625;8122.2017;24;15160.251953125;3588.8582;24;12283.5576171875;4303.0728;24
25;4839.841796875;5691.3477;25;18963.2421875;3068.8623;25;16739.33203125;7207.5527;25;14898.041;3599.7366;25;12758.1982421875;6333.882;25;16857.41796875;3958.9375;25;14114.5322265625;4136.5933;25
26;5320.763671875;5660.1323;26;20856.31640625;2723.8293;26;17919.9453125;7294.2266;26;17043.867;3578.2908;26;14471.1103515625;6717.6255;26;18724.421875;3645.2888;26;16088.94140625;4154.3633;26
27;5879.69921875;5723.982;27;22805.21875;2659.7957;27;19453.62109375;9241.895;27;18514.072;4148.1284;27;16183.7900390625;6835.1759999999995;27;20630.0625;3597.1008;27;18272.470703125;4520.301;27
28;6438.634765625;6580.325;28;25043.787109375;2703.331;28;21161.45703125;7612.9062;28;20594.299;4897.161;28;17896.470703125;7207.2236;28;22535.703125;3733.994;28;20521.087890625;4307.425;28
29;6997.572265625;6883.0317;29;27282.359375;2608.986;29;22306.078125;6653.4307;29;21897.1;5335.095;29;19609.1484375;8735.284;29;24441.345703125;4020.1018;29;22769.70703125;5319.531;29
30;7599.615234375;6815.569;30;29520.9296875;2294.7576;30;23452.203125;6868.0;30;23518.146;4983.165;30;21321.830078125;6133.8613;30;26346.986328125;3985.697;30;25018.32421875;5303.4473;30
31;8445.109375;6823.444;31;31759.5;2358.2517;31;24598.6953125;7999.536;31;25139.748;5022.762;31;23034.51171875;5617.0527;31;28252.62890625;4032.673;31;27266.943359375;5341.343000000002;31
32;9398.421875;6867.7980000000025;32;34541.87890625;2644.5166;32;26191.1015625;6882.8;32;27193.453;4168.4824;32;24751.263671875;5564.6640000000025;32;30158.267578125;4230.4307;32;29515.5625;5646.2456;32
33;10481.947265625;6581.0044;33;37998.6171875;2558.034;33;28053.63671875;6856.4233;33;28999.713;4756.679;33;26562.080078125;7495.8213;33;32063.908203125;4024.4912;33;31764.18359375;5719.496;33
34;11575.939453125;6445.12;34;40041.47265625;2790.4155;34;29916.171875;8387.094000000001;34;29821.873;7582.116;34;28899.61328125;7764.2734;34;33969.5546875;4209.747;34;34012.80078125;6726.5625;34
35;12669.931640625;6458.0693;35;41033.05078125;2347.7227;35;31697.9296875;7551.7607;35;31759.744;5948.322;35;31295.076171875;8048.9224;35;35875.1953125;4536.568;35;35736.0;7212.663;35
36;13856.375;6607.533;36;41980.7265625;1924.2495;36;33475.046875;9201.776;36;33727.195;5640.8647;36;33403.296875;8257.168;36;37661.078125;5142.8267;36;37287.71875;7027.538000000001;36
37;15366.103515625;5967.2163;37;42928.40625;2321.9434;37;35252.16796875;9216.692;37;35111.082;7618.3594;37;35138.12890625;8420.002;37;38944.19140625;5193.7583;37;38639.94140625;7856.1147;37
38;17110.5;5930.2666;38;43876.08203125;1974.8068;38;37013.21484375;9615.868;38;37063.285;9666.034;38;36999.59765625;8593.605;38;39482.8359375;4786.9507;38;39529.38671875;6151.398;38
39;18854.900390625;6293.4277;39;44823.7578125;2180.0222;39;37351.9765625;8507.754;39;38013.883;13899.472;39;38525.37109375;11721.0625;39;40011.6640625;4646.2197;39;40418.828125;7411.5464;39
40;20599.296875;5915.8706;40;45771.4375;2609.81;40;37635.61328125;9436.878;40;38778.168;12576.502;40;38552.9140625;14042.133999999998;40;40540.4921875;4393.812;40;41308.2734375;6817.6914;40
41;22343.693359375;5750.9233;41;46719.11328125;2253.738;41;37923.23828125;7398.9287;41;39118.4;12241.366;41;38555.59375;10293.754;41;41069.3203125;4763.6934;41;42197.71875;8097.0996;41
42;23664.64453125;5721.183000000001;42;47666.7890625;2697.6863;42;38217.8046875;8957.912;42;38360.4;14609.046;42;38558.265625;9608.280999999999;42;41598.15234375;4903.6855;42;43087.15625;9162.246;42
43;24822.37109375;5524.16;43;48614.46875;2385.2954;43;38516.21484375;7113.0654;43;39520.656;10735.289;43;38714.640625;12859.194;43;42126.98046875;4783.1973;43;43976.6015625;8092.1406;43
44;25980.09765625;5434.4097;44;49562.14453125;2663.66;44;38854.5859375;8512.812;44;39638.297;11114.169;44;38882.08984375;14137.141000000001;44;42655.80859375;5335.499;44;44866.04296875;7868.5225;44
45;27137.826171875;5310.093000000002;45;50509.8203125;2934.4155;45;39301.74609375;10357.443;45;39521.707;11667.618;45;39049.52734375;12920.288;45;43184.640625;4999.112;45;45755.48828125;7364.114;45
46;28389.44140625;5270.87;46;51457.5;2972.5040000000013;46;39794.25390625;11942.297;46;40257.125;10356.15;46;39952.37109375;13832.585;46;43713.46875;5506.9565;46;46644.93359375;8614.924;46
47;30050.501953125;5433.217;47;52405.1796875;3041.9004;47;40304.9375;9207.364;47;40743.9;10365.951;47;41254.734375;11433.231000000002;47;44242.296875;4919.7754;47;47534.375;8377.65;47
48;32171.6953125;5501.9536;48;53352.8515625;3225.139;48;41363.33984375;12286.073;48;41459.484;10087.241;48;42557.09375;13283.028;48;44771.125;5352.3594;48;48423.81640625;9874.552;48
49;34037.40625;5737.11;49;54300.52734375;3082.3354;49;45339.47265625;10775.352;49;41874.387;10484.852;49;43859.4609375;11571.588;49;45299.95703125;5447.3604;49;49313.25390625;6290.501;49
