;W1_oil_X;W1_oil_mean;W1_oil_var;W2_oil_X;W2_oil_mean;W2_oil_var;W3_oil_X;W3_oil_mean;W3_oil_var;W4_oil_X;W4_oil_mean;W4_oil_var;W5_oil_X;W5_oil_mean;W5_oil_var;W6_oil_X;W6_oil_mean;W6_oil_var;W7_oil_X;W7_oil_mean;W7_oil_var
0;0;0.017983198165893555;1.3621677160263062;0;0.0038499245;0.13460808;0;0.060967683792114265;1.105394959449768;0;7.6253981590271;3.419893980026245;0;0.0010559066;0.16155843;0;0.021270960569381717;0.3084175288677216;0;0.03174680471420288;5.045118808746338
1;1;0.042239993810653687;1.3985164165496826;1;0.007218314;0.07296937;1;0.005911648273468018;3.3158929347991943;1;7.4487853050231925;3.423408031463623;1;0.0046907817;0.92426074;1;0.020597731694579124;0.3003711402416229;1;0.037596136331558234;1.7745885848999023
2;2;0.04924917221069336;1.1904189586639404;2;0.009560327;0.077286445;2;0.012949645519256592;4.737790107727051;2;7.272171497344973;3.2805137634277344;2;0.0476949;0.9319481;2;0.0195388961583376;0.2751797437667847;2;0.043272405862808234;2.050933837890625
3;3;0.05372287333011627;0.9834759831428528;3;0.0121760955;0.07810417;3;0.022388994693756104;12.282203674316404;3;7.095557689666747;3.4205968379974365;3;0.12653562;0.94345605;3;0.01843023486435413;0.3606218993663788;3;0.055605605244636536;1.4195715188980105
4;4;0.0575249046087265;1.2433803081512451;4;0.014622218;0.059880238;4;0.031828343868255615;3.044804334640503;4;6.918944358825684;3.1215052604675293;4;0.22500421;0.95938116;4;0.017321573570370674;0.5100362300872803;4;0.07204979658126831;1.215600848197937
5;5;0.058588817715644836;0.9217119812965392;5;0.01637648;0.042503685;5;0.04126769304275514;9.16868782043457;5;6.742331027984619;3.148012399673462;5;0.36587662;0.98088044;5;0.016212914139032364;0.6422948241233826;5;0.0884939432144165;1.3695220947265625
6;6;0.05325731635093689;1.2117522954940796;6;0.018318713;0.05797713;6;0.048197329044342034;3.291947364807129;6;6.565717697143555;3.154209852218628;6;0.59002674;1.0035645;6;0.015104252845048903;0.6952822208404541;6;0.10493816435337068;1.4076367616653442
7;7;0.0355912446975708;1.0779951810836792;7;0.020418704;0.05149308;7;0.05517786741256714;9.208422660827637;7;6.389103889465332;2.813234806060791;7;0.8314332;1.0334393;7;0.01399559248238802;0.7305203676223755;7;0.12049861252307892;1.5941967964172363
8;8;0.01867188513278961;0.993114173412323;8;0.023951465;0.039719213;8;0.06215852499008179;2.8959131240844727;8;6.2131524085998535;3.2717089653015137;8;1.124778;1.0630801;8;0.012886932119727136;0.8013500571250916;8;0.12863710522651672;1.3815025091171265
9;9;0.2293509840965271;1.210237741470337;9;0.021545919;0.036646843;9;0.06913918256759644;5.144493103027344;9;6.039140224456787;2.781306266784668;9;1.5243498;1.0926156;9;0.011778270825743677;0.93235844373703;9;0.13620613515377045;1.4259718656539917
10;10;0.4161294400691986;2.395580530166626;10;-0.0010459266;0.14739878;10;0.07611972093582152;4.497340202331543;10;2.4850778579711914;2.3664233684539795;10;1.9780179;1.1190907;10;0.010669611394405363;0.9449461698532104;10;0.11788564920425415;1.4777570962905884
11;11;0.5279843211174011;6.077531814575195;11;-0.020284291;0.03733613;11;0.08310037851333618;2.58558988571167;11;2.5251035690307617;1.7518244981765747;11;2.4641604;1.1397657;11;0.009560950100421906;0.9818758368492126;11;0.1090305596590042;1.628774881362915
12;12;0.6020640134811401;6.1823668479919425;12;-0.03725683;0.078708045;12;0.5700292587280273;2.4282066822052;12;6.4749627113342285;1.8445215225219729;12;2.938625;1.1621163;12;0.044692043215036385;1.2301797866821291;12;0.1188519448041916;1.9092971086502075
13;13;0.6788066029548645;6.247759819030763;13;-0.05465275;0.10188687;13;1.161882400512695;7.6139631271362305;13;6.550971984863281;2.1177680492401123;13;3.4568224;1.1730807;13;0.3848764002323151;1.248252511024475;13;0.12867331504821775;1.7883617877960205
